FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
2015-605-FA,TW1_0,yes,1/28/2015,18:14,48.141849,-123.580166,grab, 15-605OS_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.43,0.99,1.81,2.84,3.9,4.69,4.89,4.68,4.54,4.51,4.38,4.03,3.68,3.59,3.76,4.08,4.26,4.28,4.16,3.9,3.62,3.2,2.84,2.49,2.11,1.84,1.61,1.45,1.34,1.26,1.14,1.09,0.91,0.74,0.51,0.29,0.07,0,0,0,19.65,63.49,16.86,80.35,3.16,3.5,3.82,4.29,5.81,7.36,8.09,8.82,9.7,5.81,5.91,2.06,0.13,0.87,5.81,5.95,2.13,0.06,0.29,0.53,5.97,4.04,0.41,2.39, 
2015-605-FA,TW1_0_duplicate,yes,1/28/2015,18:14,48.141849,-123.580166,grab, 15-605OS_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,0.41,0.98,1.89,3.08,4.21,4.93,5.14,5.09,5.05,4.91,4.55,4.04,3.57,3.42,3.53,3.8,3.94,3.96,3.85,3.64,3.39,3.04,2.74,2.43,2.08,1.83,1.62,1.46,1.34,1.26,1.13,1.08,0.9,0.72,0.51,0.29,0.07,0,0,0,20.76,62.54,16.71,79.24,3.15,3.47,3.77,4.21,5.65,7.32,8.07,8.81,9.69,5.65,5.83,2.07,0.18,0.86,5.65,5.92,2.15,0.13,0.36,0.52,5.89,4.1,0.47,2.39, 
2015-605-FA,TW1_1,yes,1/28/2015,18:21,48.141275,-123.579421,grab, 15-605OS_02,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.29,1.16,2.42,4.12,5.58,6.16,5.84,5.08,4.21,3.65,3.66,3.86,3.76,3.34,2.96,2.92,3.11,3.36,3.47,3.45,3.32,3.1,2.86,2.52,2.24,1.97,1.67,1.47,1.3,1.17,1.08,1.02,0.92,0.88,0.73,0.59,0.41,0.23,0.05,0,0,0.1,34.86,51.57,13.48,65.05,2.58,2.85,3.1,3.47,5.01,6.94,7.72,8.48,9.46,5.01,5.28,2.2,0.23,0.81,5.01,5.41,2.31,0.17,0.44,0.49,5.37,4.75,0.51,2.42, 
2015-605-FA,TW1_2,yes,1/28/2015,18:29,48.140738,-123.57868,grab, 15-605OS_03,0,0,0,0,0,0.04,0.19,0.29,0.56,1.25,1.61,1.41,1.35,2.11,4.02,7.18,11.51,14.73,14.89,12.01,8.03,4.76,2.76,1.65,1.03,0.69,0.51,0.4,0.35,0.35,0.41,0.45,0.47,0.47,0.46,0.44,0.41,0.38,0.34,0.3,0.28,0.26,0.25,0.24,0.24,0.23,0.22,0.19,0.14,0.09,0.05,0.01,0,0,0,85.92,11.24,2.84,14.08,1.44,2.09,2.38,2.62,3.07,3.56,3.9,4.45,6.75,3.07,3.11,1.18,0.24,2.34,3.07,3.14,0.76,0.09,1.36,2.51,3.31,2.28,2.23,9.94, 
2015-605-FA,TW1_3,yes,1/28/2015,18:37,48.140152,-123.578176,grab, 15-605OS_04,0,0,0,0,0,0.01,0.02,0.03,0.2,0.6,0.64,0.26,0.31,1.78,5.22,10.11,15,17.09,15.48,11.19,6.64,3.36,1.6,0.84,0.54,0.4,0.31,0.27,0.27,0.33,0.44,0.53,0.58,0.6,0.59,0.57,0.52,0.48,0.43,0.37,0.33,0.31,0.29,0.27,0.27,0.25,0.23,0.19,0.14,0.08,0.05,0.01,0,0,0,87.94,8.86,3.2,12.06,2.09,2.28,2.44,2.61,2.98,3.43,3.73,4.38,7.15,2.98,3.05,1.09,0.4,2.52,2.98,3.08,0.64,0.16,2.55,2.94,3.33,2.27,2.59,10.44, 
2015-605-FA,TW1_4,yes,1/28/2015,18:42,48.139873,-123.577783,grab, 15-605OS_05,0,0,0,0,0,0.06,0.29,0.57,1.06,1.81,2.42,3.27,5.47,9.44,14.05,16.97,16.59,12.6,7.4,3.31,1.18,0.45,0.27,0.18,0.12,0.09,0.08,0.08,0.09,0.1,0.13,0.15,0.16,0.16,0.15,0.14,0.13,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.08,0.06,0.03,0.03,0.02,0.01,0,0,0,0,96.94,2.12,0.94,3.06,1.14,1.53,1.79,2.01,2.43,2.81,2.99,3.18,3.48,2.43,2.4,0.66,-0.09,1.2,2.43,2.39,0.6,-0.07,-0.2,0.95,2.48,1.13,3.22,21.17, 
2015-605-FA,TW1_5,yes,1/28/2015,18:50,48.139634,-123.577626,grab, 15-605OS_06,0,0,0,0.01,0.12,0.42,0.89,1.43,2.17,3.23,4.44,6.06,8.43,11.25,13.47,13.96,12.21,8.84,5.35,2.71,1.19,0.5,0.25,0.15,0.12,0.1,0.09,0.07,0.08,0.11,0.14,0.17,0.19,0.19,0.19,0.18,0.17,0.15,0.13,0.12,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.04,0.04,0.03,0.01,0,0,0,0,96.69,2.36,0.95,3.31,0.75,1.11,1.4,1.69,2.22,2.69,2.92,3.14,3.5,2.22,2.18,0.8,-0.08,1.14,2.22,2.16,0.76,-0.08,-0.12,0.81,2.27,1.41,2.72,16.6, 
2015-605-FA,TW2_5,yes,1/28/2015,18:58,48.141974,-123.573788,grab, 15-605OS_07,2.63,0,0.01,0.11,0.33,0.67,1.13,1.66,2.39,3.44,4.54,5.85,7.69,9.87,11.72,12.18,11.08,8.5,5.53,3.02,1.42,0.63,0.31,0.2,0.16,0.15,0.14,0.13,0.15,0.19,0.25,0.3,0.33,0.35,0.34,0.33,0.3,0.27,0.24,0.21,0.19,0.17,0.16,0.15,0.14,0.12,0.1,0.07,0.06,0.04,0.02,0.01,0,0,2.63,91.77,3.91,1.69,5.59,0.27,0.84,1.21,1.58,2.21,2.74,3.01,3.3,4.62,2.21,2.14,1.11,0,1.53,2.21,2.11,0.9,-0.11,0.26,1.41,2.26,2.63,1.43,9.79, 
2015-605-FA,TW2_4,yes,1/28/2015,19:01,48.142024,-123.573914,grab, 15-605OS_08,0,0,0,0,0,0.01,0.11,0.39,0.91,1.6,2.08,2.57,3.9,6.62,10.3,13.73,15.5,14.22,10.53,6.14,2.8,1.07,0.48,0.32,0.25,0.2,0.19,0.21,0.26,0.32,0.38,0.43,0.45,0.46,0.45,0.43,0.39,0.36,0.31,0.27,0.23,0.2,0.17,0.15,0.14,0.12,0.11,0.09,0.08,0.05,0.03,0.01,0,0,0,92.47,5.58,1.95,7.53,1.24,1.66,1.93,2.18,2.63,3.07,3.31,3.62,6.2,2.63,2.63,1.1,0.21,2.28,2.63,2.62,0.69,-0.01,1.58,2.6,2.83,2,2.6,11.87, 
2015-605-FA,TW2_3,yes,1/28/2015,19:04,48.142472,-123.573996,grab, 15-605OS_09,0,0,0,0,0,0.02,0.1,0.11,0.25,0.76,1.09,1.17,1.82,3.7,6.67,10.03,13.27,14.85,14.08,11.21,7.55,4.31,2.18,1.08,0.6,0.39,0.29,0.22,0.2,0.21,0.25,0.28,0.29,0.29,0.28,0.27,0.25,0.22,0.2,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.13,0.09,0.07,0.04,0.02,0.01,0,0,0,90.98,7.31,1.71,9.02,1.72,2.05,2.26,2.49,2.94,3.41,3.66,3.94,4.84,2.94,2.95,0.82,0.12,1.39,2.94,2.96,0.7,0.03,0.48,1.23,3.09,1.56,2.7,14.14, 
