FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis
2016-653-FA,TW1_B,Yes,7/20/2016,9:45:30,48.144623,-123.583476,grab, 16-653FA_01,0,0,0.000024,0.003483,0.021767,0.039181,0.080538,0.163253,0.280795,0.426635,0.513703,0.511526,0.52241,0.616009,0.759451,0.992331,1.622945,2.375413,3.008472,3.736064,4.562907,5.226343,5.389031,5.134151,4.668024,4.212624,3.811693,3.451239,3.127323,2.950801,3.071443,3.287301,3.449249,3.470767,3.352074,3.187079,2.881219,2.615576,2.334282,2.00625,1.780608,1.586486,1.439319,1.331281,1.26259,1.137377,1.091075,0.908687,0.733689,0.510648,0.287171,0.067695,0,0,0,25.46325,58.059593,16.477157,74.53675,2.513,3.097,3.52,3.98,5.346,7.263,8.05,8.807,9.699,5.345866,5.638508,2.221236,0.202704,0.897097,5.345866,5.78483,2.264957,0.193807,0.335663,0.586299,5.660239,4.944152,0.284871,2.492807
2016-653-FA,TW1_A,Yes,7/20/2016,9:50:17,48.143274,-123.581659,grab, 16-653FA_02,0,0.631001,0.016609,0.095412,0.30037,0.646679,1.060129,1.42764,1.724476,1.940036,1.858759,1.523052,1.226216,1.187344,1.356965,1.650267,2.141928,2.861898,3.828324,4.700147,4.982664,4.630431,3.969288,3.377584,2.96992,2.719069,2.566926,2.433599,2.307338,2.274967,2.486283,2.792944,3.022763,3.111706,3.053367,2.930994,2.667744,2.430178,2.16714,1.853333,1.630023,1.452845,1.308038,1.208763,1.147555,1.039402,0.994224,0.830249,0.671265,0.468127,0.262544,0.061474,0,0,0.631001,39.159346,45.11467,15.094982,60.209653,0.627,1.299,2.408,3.223,4.741,7.097,7.905,8.665,9.604,4.741063,5.017989,2.734397,0.117302,0.949558,4.741063,5.156452,2.748435,0.151137,0.136314,0.633144,5.025723,7.208998,0.078121,2.32487
2016-653-FA,TW1_0,Yes,7/20/2016,9:54:55,48.141744,-123.580111,grab, 16-653FA_03,0,3.068436,0.070515,0.072651,0.05342,0.038463,0.064104,0.091883,0.108977,0.128208,0.070515,0.005983,0.000299,0.036326,0.25428,0.660273,1.350479,2.365602,3.674533,4.945433,5.526831,5.274875,4.712552,4.32429,4.102533,3.92752,3.732649,3.47388,3.16419,2.934481,2.996008,3.192923,3.350984,3.387488,3.303077,3.151077,2.870605,2.621002,2.349155,2.032178,1.806743,1.627506,1.478925,1.375902,1.303321,1.17613,1.132282,0.941215,0.76462,0.533202,0.301356,0.070117,0,0,3.068436,24.79365,55.24526,16.892654,72.137913,2.568,3.121,3.454,3.867,5.347,7.293,8.094,8.859,9.736,5.346825,5.631467,2.246249,0.204301,0.857634,5.346825,5.773788,2.320271,0.184014,0.346926,0.544722,5.567139,5.975968,-0.181869,3.317757
2016-653-FA,TW1_1,Yes,7/20/2016,10:00:57,48.141291,-123.579157,grab, 16-653FA_04,0,0,0,0,0,0,0,0.001388,0.11277,0.667943,0.806736,0.346983,0.346983,1.812988,4.892466,8.934823,13.358869,15.878499,15.243308,11.786998,7.380557,3.895567,1.929817,1.074941,0.721146,0.550903,0.467802,0.43751,0.421029,0.430518,0.495973,0.57699,0.638438,0.666091,0.657278,0.631099,0.573329,0.522724,0.468475,0.407618,0.371273,0.347281,0.333906,0.326343,0.323794,0.300616,0.286928,0.23051,0.169356,0.102234,0.056105,0.013091,0,0,0,85.46688,10.795589,3.737531,14.53312,2.072,2.287,2.461,2.647,3.049,3.527,3.902,5.135,7.434,3.04877,3.137269,1.17278,0.41002,2.49743,3.04877,3.181519,0.720715,0.184192,2.3653,2.71991,3.439648,2.552379,2.388503,9.108183
2016-653-FA,TW1_2,Yes,7/20/2016,10:07:04,48.140878,-123.578354,grab, 16-653FA_05,0,0,0,0,0,0,0,0,0,0,0,0,0.009088,0.590695,3.117052,7.551809,13.631424,18.357159,18.827905,14.576109,8.503922,3.782226,1.451919,0.697659,0.492533,0.381442,0.309701,0.278903,0.27446,0.29836,0.36175,0.435257,0.493154,0.51984,0.518962,0.503392,0.460722,0.421888,0.380258,0.333427,0.30665,0.289011,0.282357,0.281237,0.282913,0.263618,0.253541,0.20053,0.142996,0.081918,0.044104,0.010107,0,0,0,88.947389,7.899944,3.152667,11.052611,2.313,2.478,2.606,2.752,3.094,3.472,3.715,4.177,7.028,3.094188,3.138275,0.991535,0.394006,2.68333,3.094188,3.160319,0.554246,0.119317,2.844389,3.253641,3.426906,1.999074,2.989773,12.406843
2016-653-FA,TW1_3,Yes,7/20/2016,10:12:50,48.140163,-123.578028,grab, 16-653FA_06,0,0,0,0,0,0,0,0,0,0,0,0,0.012943,0.795052,3.781119,8.440494,14.421873,18.859373,18.768656,14.088965,7.850162,3.261544,1.153191,0.557644,0.406176,0.309752,0.249106,0.22417,0.231313,0.26166,0.330158,0.409022,0.471154,0.501501,0.502319,0.486406,0.442734,0.401202,0.355946,0.305065,0.274587,0.254754,0.245221,0.243215,0.244286,0.228651,0.218931,0.173237,0.122749,0.069,0.037636,0.009033,0,0,0,90.28018,6.937508,2.782312,9.71982,2.268,2.439,2.564,2.718,3.052,3.426,3.651,3.977,6.809,3.051983,3.089069,0.959869,0.378531,2.628598,3.051983,3.107612,0.543665,0.102321,2.73441,3.176322,3.35569,1.853692,3.111857,13.40406
2016-653-FA,TW1_4,Yes,7/20/2016,10:20:26,48.139921,-123.577865,grab, 16-653FA_07,0,0.608688,0,0,0,0,0,0,0,0,0,0,0.048485,1.359482,5.780175,12.16879,18.63346,20.820039,17.493705,10.761464,4.752349,1.554305,0.570935,0.396248,0.300289,0.199721,0.159192,0.157787,0.170461,0.188985,0.223986,0.264391,0.295059,0.307408,0.300488,0.285582,0.25525,0.227774,0.200034,0.172183,0.157897,0.153008,0.153523,0.157541,0.162714,0.153808,0.146888,0.114454,0.077712,0.03991,0.020931,0.004899,0,0,0.608688,93.372255,4.303557,1.7155,6.019057,2.216,2.312,2.444,2.579,2.894,3.223,3.413,3.618,4.542,2.893634,2.916784,0.594694,0.244489,1.479945,2.893634,2.928359,0.484748,0.071635,1.000986,1.398473,3.074062,1.40528,3.202646,18.621838
2016-653-FA,TW2_C,Yes,7/20/2016,10:29:16,48.146614,-123.57844,grab, 16-653FA_08,0,0.921974,0.458169,0.551181,0.651083,0.775098,0.923228,1.043799,1.105807,1.067913,0.885334,0.630413,0.440945,0.458169,0.781988,1.470964,2.518208,3.595597,4.579584,5.412955,5.81147,5.621331,4.969498,4.184085,3.526493,3.112958,2.855517,2.661679,2.50017,2.416185,2.558313,2.758585,2.894253,2.894253,2.784427,2.622917,2.351581,2.112547,1.873512,1.595716,1.408364,1.253315,1.137028,1.053043,0.9949,0.904454,0.865692,0.723563,0.587895,0.407004,0.232574,0.054267,0,0,0.921974,38.783237,47.203461,13.091328,60.294789,0.427,2.034,2.852,3.355,4.581,6.825,7.664,8.441,9.446,4.580605,5.032345,2.569576,0.180302,1.065271,4.580605,5.258215,2.406104,0.281621,0.148031,0.874203,4.95316,6.569084,0.066632,2.726727
2016-653-FA,TW2_B,Yes,7/20/2016,10:34:25,48.145581,-123.57838,grab, 16-653FA_09,0,0,0,0,0,0,0,0,0,0,0,0,0.019838,0.323833,0.951076,1.525806,2.225985,3.282373,4.783177,6.390703,7.249105,7.028064,6.302063,5.588414,4.851307,4.117226,3.499396,3.054876,2.73905,2.55025,2.593617,2.728468,2.812577,2.796662,2.681599,2.517545,2.261133,2.033924,1.807299,1.552637,1.377337,1.245695,1.136175,1.062357,1.017159,0.927135,0.893183,0.749792,0.604067,0.420306,0.243043,0.055749,0,0,0,33.77996,53.128106,13.091934,66.22004,2.746,3.099,3.373,3.694,4.723,6.785,7.652,8.457,9.48,4.723384,5.249753,2.090043,0.390864,0.893018,4.723384,5.512937,2.13946,0.369043,0.649473,0.573776,5.324147,4.363781,0.74451,2.695001
2016-653-FA,TW2_A,Yes,7/20/2016,10:38:39,48.144488,-123.576422,grab, 16-653FA_10,0,0,0,0,0,0,0,0,0,0,0,0,0.027775,0.460278,1.468128,2.630727,4.047272,5.598924,6.854108,7.318908,6.770078,5.410949,3.971698,3.003865,2.513615,2.303863,2.26849,2.331429,2.436766,2.594589,2.896804,3.168837,3.30688,3.292823,3.139533,2.93271,2.617232,2.338369,2.060696,1.754032,1.539104,1.368017,1.239978,1.142915,1.082467,0.98223,0.94315,0.788669,0.639035,0.443179,0.253358,0.058519,0,0,0,40.587149,45.117502,14.29535,59.412851,2.531,2.82,3.071,3.389,4.742,7.026,7.816,8.578,9.545,4.742404,5.209643,2.248874,0.332431,0.790289,4.742404,5.443263,2.372332,0.295431,0.546119,0.478265,5.308059,5.080922,0.570386,2.274832
