FACS ID,Sample ID,Date Collected,Time_GMT,Latitude,Longitude,Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis
2018-648-FA,TW1_B,7/23/2018,17:42:00,48.144722,-123.583128,Grab,18-648FA_01,0,0,0,0,0.001047,0.064838,0.214464,0.32419,0.483791,0.812968,1.062344,1.431422,2.274315,3.321697,4.139652,4.64838,5.137159,5.635912,5.885288,5.486286,4.119702,2.309228,0.927681,0.319202,0.179551,0.144638,0.117266,0.671149,3.196877,4.655167,3.803258,3.382339,3.478075,3.432,3.320281,3.21457,2.903898,2.649845,2.36221,2.000405,1.761861,1.550368,1.390484,1.286721,1.213025,1.110782,1.074184,0.899313,0.73247,0.511525,0.290081,0.068089,0,0,0,47.352682,36.395798,16.251521,52.647318,1.579,2.001,2.356,2.801,5.555,7.251,8.025,8.772,9.686,5.554685,5.312116,2.645626,-0.05457,0.746672,5.554685,5.190832,2.834394,-0.128371,0.027504,0.430223,5.125836,7.098878,0.260962,1.89531
2018-648-FA,TW1_A,7/23/2018,17:58:00,48.143126,-123.581821,Grab,18-648FA_02,0,0.448212,0,0,0.004103,0.233152,0.885977,1.538802,2.210279,3.357386,5.418448,8.496052,11.750851,13.429544,12.496937,9.605855,6.565555,4.765623,3.944929,3.292104,2.312866,1.193737,0.410347,0.121239,0.092328,0.102587,0.083935,0.062485,0.051731,0.076133,0.336397,0.565592,0.539303,0.495614,0.481467,0.460039,0.43002,0.413929,0.386629,0.354171,0.335859,0.320981,0.312451,0.304298,0.297533,0.267891,0.244418,0.191858,0.147057,0.096632,0.053965,0.012698,0,0,0.448212,91.5022,4.723147,3.326441,8.049588,0.72,1.073,1.317,1.559,2.046,2.694,3.176,3.665,7.058,2.046227,2.179697,1.42515,0.398448,2.28855,2.046227,2.246432,0.929639,0.215358,1.982436,2.40895,2.448344,3.195571,2.435095,9.719394
2018-648-FA,TW1_0,7/23/2018,18:02:00,48.141775,-123.580173,Grab,18-648FA_03,0,0,0,0,0.000646,0.059301,0.190068,0.235685,0.243287,0.494178,0.425753,0.212877,0.395342,1.011164,2.394861,5.20027,9.503418,13.15273,14.141086,12.01232,7.906844,4.037052,1.596574,0.600616,0.33452,0.243287,0.174863,0.129246,0.132524,0.678367,1.789687,1.9794,1.975724,1.916194,1.818924,1.727227,1.57208,1.44885,1.320682,1.161867,1.05574,0.967091,0.898327,0.849574,0.820832,0.753965,0.728131,0.615286,0.501172,0.348934,0.197581,0.045849,0,0,0,71.616883,18.118083,10.265033,28.383117,2.208,2.475,2.657,2.849,3.3,5.895,7.114,8.049,9.213,3.299783,4.356962,2.17579,0.699918,0.942486,3.299783,4.885552,2.228928,0.711449,1.081681,0.571327,4.257036,5.191926,1.242663,3.455695
2018-648-FA,TW1_1,7/23/2018,18:05:00,48.141057,-123.579223,Grab,18-648FA_04,0,0.07282,0,0,0,0.019967,0.114095,0.304254,0.665556,1.312097,1.606843,1.711431,2.215352,3.318274,5.448054,9.118122,13.881603,16.638908,15.593034,11.314458,6.20869,2.538622,0.836699,0.351794,0.256715,0.199667,0.142619,0.120805,0.192853,0.345795,0.366433,0.376064,0.396733,0.399214,0.388284,0.373991,0.340529,0.311835,0.281674,0.249062,0.23269,0.225379,0.224753,0.231309,0.236944,0.224955,0.215888,0.170088,0.118112,0.064283,0.034506,0.008147,0,0,0.07282,92.009359,5.40003,2.51779,7.917821,1.387,1.912,2.222,2.481,2.911,3.315,3.526,3.792,6.32,2.91092,2.886196,1.07317,0.162673,2.423822,2.91092,2.873834,0.651708,-0.056906,1.446489,2.784126,3.080826,2.068832,2.585296,12.190631
2018-648-FA,TW1_2,7/23/2018,18:07:00,48.140626,-123.578663,Grab,18-648FA_05,0,0,0,0,0.000309,0.042553,0.145068,0.183753,0.270793,0.676984,0.686655,0.473888,0.735011,1.682788,3.994203,8.539664,14.990349,19.245674,18.568691,13.442958,7.137341,2.688592,0.783367,0.338492,0.270793,0.212766,0.154739,0.116381,0.114227,0.200578,0.270075,0.286463,0.30094,0.302223,0.292295,0.279343,0.25447,0.233159,0.212388,0.188545,0.177115,0.1738,0.177989,0.185814,0.19567,0.189954,0.188278,0.155361,0.11794,0.07266,0.039953,0.008947,0,0,0,93.505273,4.410312,2.084415,6.494727,2.01,2.296,2.474,2.646,2.981,3.338,3.511,3.72,4.867,2.981462,2.988807,0.69202,0.170583,1.691723,2.981462,2.992479,0.518202,0.021261,0.881952,1.756908,3.150769,1.578764,3.210556,16.864623
2018-648-FA,TW1_3,7/23/2018,18:12:00,48.14011,-123.577964,Grab,18-648FA_06,0,0,0,0,0,0.016396,0.072334,0.144669,0.260403,0.559385,0.405072,0.125379,0.347205,1.273084,3.790317,8.901941,15.913545,20.157157,18.806917,13.020173,6.712623,2.565456,0.868012,0.414717,0.298982,0.212181,0.154313,0.115735,0.096625,0.103689,0.213809,0.335396,0.356465,0.350742,0.34186,0.326498,0.29518,0.270645,0.243254,0.214337,0.199484,0.192612,0.194716,0.200244,0.207631,0.197626,0.189148,0.148349,0.100201,0.051853,0.027423,0.006216,0,0,0,93.072056,4.75485,2.173094,6.927944,2.169,2.365,2.502,2.663,2.979,3.331,3.507,3.73,5.215,2.978993,2.996134,0.71284,0.259742,1.87116,2.978993,3.004704,0.502559,0.051161,1.419389,2.030784,3.182928,1.57445,3.29412,16.604037
2018-648-FA,TW1_4,7/23/2018,18:14:00,48.139961,-123.577879,Grab,18-648FA_07,0,0,0,0,0,0.00367,0.011589,0.093679,0.338016,0.666374,0.608429,0.743635,2.539948,6.885867,13.037757,18.542587,20.184379,16.128188,9.512734,4.017561,1.236172,0.405619,0.270413,0.20281,0.125549,0.087884,0.083055,0.080158,0.071614,0.07288,0.166074,0.275729,0.302609,0.304023,0.300765,0.288458,0.264563,0.245926,0.225915,0.206603,0.199487,0.196322,0.196572,0.193137,0.183795,0.154037,0.121359,0.081911,0.064675,0.045475,0.025937,0.006063,0,0,0,94.956203,3.14251,1.901288,5.043797,1.75,1.966,2.099,2.251,2.586,2.927,3.109,3.291,4.038,2.586228,2.597942,0.599143,0.151962,1.388098,2.586228,2.6038,0.504876,0.034804,0.609869,1.266154,2.77348,1.536526,3.632262,18.817055
2018-648-FA,TW2_3,7/23/2018,18:23:00,48.142552,-123.573843,Grab,18-648FA_08,0,0,0,0,0,0.020007,0.100033,0.236441,0.454694,0.900294,1.145829,1.509584,2.573569,4.292312,6.702191,10.003271,13.549885,15.186784,13.731762,9.821393,5.538174,2.382597,0.827543,0.336474,0.227347,0.181878,0.136408,0.101023,0.139526,0.408684,0.636466,0.702144,0.75789,0.7749,0.757684,0.727872,0.662951,0.605261,0.540394,0.463875,0.410812,0.370409,0.340829,0.323864,0.313166,0.287063,0.27262,0.218397,0.161428,0.097637,0.054026,0.012606,0,0,0,88.14882,7.984052,3.867127,11.85118,1.575,1.943,2.19,2.438,2.896,3.366,3.667,5.578,7.551,2.896378,2.918072,1.274698,0.300939,2.639071,2.896378,2.92892,0.738517,0.044064,2.256845,3.045874,3.255776,2.897437,2.232872,8.263658
2018-648-FA,TW2_2,7/23/2018,18:27:00,48.142791,-123.574466,Grab,18-648FA_09,0,0,0,0,0,0.005503,0.022385,0.079279,0.233173,0.643557,0.699519,0.736827,1.492307,2.965961,5.260383,8.813939,13.430765,16.415379,16.042302,12.311534,7.302978,3.255095,1.137884,0.438365,0.289135,0.233173,0.167885,0.122056,0.145583,0.357237,0.522357,0.554114,0.583072,0.585724,0.567554,0.541324,0.491435,0.447703,0.400986,0.346169,0.311726,0.287581,0.274555,0.267984,0.267608,0.249062,0.238615,0.190035,0.136531,0.079928,0.043659,0.010075,0,0,0,89.710886,7.1846,3.104514,10.289114,1.865,2.168,2.377,2.588,2.989,3.416,3.664,4.06,7.067,2.989401,3.010061,1.109811,0.307962,2.574503,2.989401,3.020391,0.643177,0.048182,2.296061,3.044193,3.280695,2.273325,2.585969,10.652673
2018-648-FA,TW2_1,7/23/2018,18:30:00,48.143332,-123.575245,Grab,18-648FA_10,0,0,0,0,0,0,0,0,0,0,0,0.002094,0.136893,0.684464,1.980919,4.871771,9.743542,14.25295,16.185554,14.172425,9.501967,4.662406,1.674923,0.571729,0.338206,0.249628,0.177155,0.120788,0.116046,0.436114,1.191374,1.458546,1.575414,1.61964,1.595912,1.547418,1.424815,1.316276,1.18766,1.023434,0.904812,0.803807,0.722692,0.668428,0.634384,0.576755,0.560372,0.471106,0.383307,0.268846,0.150832,0.034599,0,0,0,76.194984,15.413981,8.391034,23.805016,2.4,2.578,2.726,2.897,3.289,3.933,6.734,7.697,8.836,3.288998,4.24979,1.977086,0.72146,2.54471,3.288998,4.730186,2.003707,0.719261,1.162311,0.606157,4.113657,4.263029,1.599172,4.400375
