Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
01/27/2015,-123.561921,48.143407,296997.360,130725.990,-17.690,2.420
01/27/2015,-123.561921,48.143407,296997.370,130725.970,-17.660,2.450
01/27/2015,-123.561924,48.143408,296997.150,130726.080,-18.610,1.500
01/27/2015,-123.561927,48.143408,296996.970,130726.130,-17.630,2.480
01/27/2015,-123.561928,48.143408,296996.900,130726.130,-17.830,2.280
01/27/2015,-123.561927,48.143409,296996.920,130726.180,-17.680,2.430
01/27/2015,-123.561927,48.143409,296996.920,130726.190,-17.650,2.460
01/27/2015,-123.561927,48.143409,296996.920,130726.220,-17.770,2.340
01/27/2015,-123.561927,48.143409,296996.940,130726.220,-17.770,2.340
01/27/2015,-123.561927,48.143409,296996.960,130726.210,-17.820,2.290
01/27/2015,-123.561926,48.143409,296996.990,130726.200,-17.820,2.290
01/27/2015,-123.561926,48.143409,296997.000,130726.200,-17.800,2.310
01/27/2015,-123.561926,48.143409,296997.000,130726.190,-17.880,2.230
01/27/2015,-123.561927,48.143409,296996.960,130726.180,-17.810,2.300
01/27/2015,-123.561926,48.143408,296996.990,130726.110,-17.850,2.260
01/27/2015,-123.561926,48.143408,296997.050,130726.050,-17.730,2.380
01/27/2015,-123.561926,48.143408,296997.050,130726.030,-17.710,2.400
01/27/2015,-123.561926,48.143408,296997.030,130726.060,-17.790,2.320
01/27/2015,-123.561928,48.143409,296996.910,130726.220,-17.860,2.250
01/27/2015,-123.561930,48.143409,296996.720,130726.260,-17.910,2.200
01/27/2015,-123.561933,48.143409,296996.510,130726.200,-18.010,2.100
01/27/2015,-123.561935,48.143408,296996.330,130726.160,-18.030,2.080
01/27/2015,-123.561936,48.143408,296996.300,130726.070,-17.720,2.390
01/27/2015,-123.561933,48.143407,296996.470,130725.960,-17.690,2.420
01/27/2015,-123.561932,48.143406,296996.600,130725.900,-17.820,2.290
01/27/2015,-123.561930,48.143406,296996.730,130725.850,-17.750,2.360
01/27/2015,-123.561928,48.143406,296996.900,130725.870,-17.670,2.440
01/27/2015,-123.561928,48.143406,296996.870,130725.900,-17.620,2.490
