Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
07/20/2017,-123.561935,48.144314,296999.950,130826.790,-18.860,1.250
07/20/2017,-123.561941,48.144316,296999.500,130827.050,-18.880,1.230
07/20/2017,-123.561943,48.144322,296999.340,130827.650,-19.030,1.080
07/20/2017,-123.561945,48.144327,296999.230,130828.280,-18.300,1.810
07/20/2017,-123.561948,48.144333,296999.020,130828.880,-18.270,1.840
07/20/2017,-123.561952,48.144339,296998.760,130829.570,-18.290,1.820
07/20/2017,-123.561954,48.144346,296998.630,130830.370,-18.330,1.780
07/20/2017,-123.561961,48.144354,296998.140,130831.250,-18.260,1.850
07/20/2017,-123.561966,48.144363,296997.840,130832.300,-18.250,1.860
07/20/2017,-123.561969,48.144373,296997.640,130833.480,-18.360,1.750
07/20/2017,-123.561977,48.144384,296997.090,130834.690,-18.380,1.730
07/20/2017,-123.561986,48.144408,296996.490,130837.380,-18.350,1.760
07/20/2017,-123.561992,48.144421,296996.080,130838.830,-18.330,1.780
07/20/2017,-123.561997,48.144434,296995.780,130840.300,-18.420,1.690
07/20/2017,-123.562001,48.144447,296995.510,130841.750,-18.440,1.670
07/20/2017,-123.562005,48.144460,296995.300,130843.150,-18.450,1.660
07/20/2017,-123.562011,48.144472,296994.920,130844.550,-18.560,1.550
07/20/2017,-123.562014,48.144484,296994.700,130845.900,-18.790,1.320
07/20/2017,-123.562019,48.144495,296994.390,130847.160,-18.700,1.410
07/20/2017,-123.562023,48.144506,296994.110,130848.300,-18.640,1.470
07/20/2017,-123.562030,48.144516,296993.660,130849.490,-18.680,1.430
07/20/2017,-123.562035,48.144526,296993.290,130850.550,-18.560,1.550
07/20/2017,-123.562040,48.144534,296993.010,130851.480,-18.620,1.490
07/20/2017,-123.562045,48.144543,296992.630,130852.570,-18.610,1.500
07/20/2017,-123.562051,48.144552,296992.270,130853.560,-18.680,1.430
07/20/2017,-123.562055,48.144560,296991.940,130854.480,-18.620,1.490
07/20/2017,-123.562060,48.144568,296991.600,130855.320,-18.580,1.530
