Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
02/15/2016,-123.559051,48.149038,297232.980,131344.096,-19.035,1.075
02/15/2016,-123.559062,48.149038,297232.192,131344.078,-19.352,0.758
02/15/2016,-123.559072,48.149038,297231.417,131344.159,-19.686,0.424
02/15/2016,-123.559084,48.149038,297230.570,131344.192,-19.576,0.534
02/15/2016,-123.559095,48.149038,297229.743,131344.179,-19.280,0.830
02/15/2016,-123.559105,48.149039,297229.011,131344.348,-19.013,1.097
02/15/2016,-123.559115,48.149040,297228.220,131344.502,-18.945,1.165
02/15/2016,-123.559125,48.149042,297227.481,131344.690,-18.949,1.161
02/15/2016,-123.559135,48.149045,297226.791,131345.055,-18.947,1.163
02/15/2016,-123.559145,48.149048,297226.032,131345.457,-20.013,0.097
02/15/2016,-123.559155,48.149052,297225.309,131345.880,-19.114,0.996
02/15/2016,-123.559165,48.149056,297224.578,131346.447,-19.224,0.886
02/15/2016,-123.559174,48.149061,297223.944,131346.960,-19.187,0.923
02/15/2016,-123.559182,48.149065,297223.325,131347.390,-19.205,0.905
02/15/2016,-123.559191,48.149068,297222.688,131347.794,-19.159,0.951
02/15/2016,-123.559201,48.149073,297222.013,131348.365,-19.127,0.983
02/15/2016,-123.559209,48.149078,297221.392,131348.909,-19.128,0.982
02/15/2016,-123.559217,48.149082,297220.828,131349.430,-19.103,1.007
02/15/2016,-123.559224,48.149088,297220.299,131350.065,-19.103,1.007
02/15/2016,-123.559230,48.149094,297219.872,131350.754,-19.075,1.035
02/15/2016,-123.559241,48.149095,297219.106,131350.974,-19.079,1.031
02/15/2016,-123.559252,48.149096,297218.296,131351.095,-19.085,1.025
02/15/2016,-123.559262,48.149098,297217.520,131351.372,-19.076,1.034
02/15/2016,-123.559272,48.149102,297216.790,131351.781,-19.068,1.042
02/15/2016,-123.559282,48.149106,297216.116,131352.294,-19.071,1.039
02/15/2016,-123.559289,48.149111,297215.551,131352.863,-19.049,1.061
02/15/2016,-123.559297,48.149116,297215.038,131353.456,-19.065,1.045
02/15/2016,-123.559304,48.149121,297214.495,131354.017,-19.108,1.002
02/15/2016,-123.559431,48.149187,297205.293,131361.676,-19.081,1.029
02/15/2016,-123.559439,48.149193,297204.766,131362.303,-19.047,1.063
02/15/2016,-123.559446,48.149198,297204.271,131362.927,-18.969,1.141
02/15/2016,-123.559453,48.149205,297203.767,131363.678,-18.900,1.210
02/15/2016,-123.559461,48.149211,297203.193,131364.378,-18.957,1.153
02/15/2016,-123.559468,48.149217,297202.700,131365.055,-18.951,1.159
02/15/2016,-123.559474,48.149224,297202.280,131365.827,-19.016,1.094
02/15/2016,-123.559482,48.149230,297201.710,131366.569,-19.006,1.104
02/15/2016,-123.559490,48.149237,297201.153,131367.310,-19.106,1.004
02/15/2016,-123.559496,48.149243,297200.693,131368.016,-19.110,1.000
02/15/2016,-123.559631,48.149361,297191.103,131381.478,-19.365,0.745
02/15/2016,-123.559639,48.149367,297190.547,131382.179,-19.410,0.700
02/15/2016,-123.559648,48.149373,297189.941,131382.874,-19.387,0.723
02/15/2016,-123.559654,48.149379,297189.488,131383.600,-19.389,0.721
02/15/2016,-123.559747,48.149462,297182.897,131393.085,-19.167,0.943
02/15/2016,-123.559755,48.149469,297182.352,131393.839,-19.170,0.940
02/15/2016,-123.559861,48.149576,297174.888,131406.039,-19.703,0.407
02/15/2016,-123.559966,48.149679,297167.505,131417.690,-19.681,0.429
02/15/2016,-123.559965,48.149686,297167.600,131418.459,-19.625,0.485
02/15/2016,-123.559974,48.149689,297166.909,131418.842,-19.573,0.537
02/15/2016,-123.559981,48.149695,297166.409,131419.556,-19.579,0.531
02/15/2016,-123.559989,48.149699,297165.815,131420.052,-19.720,0.390
02/15/2016,-123.559997,48.149706,297165.313,131420.831,-19.736,0.374
02/15/2016,-123.560004,48.149711,297164.751,131421.379,-19.698,0.412
02/15/2016,-123.560013,48.149717,297164.137,131422.062,-19.647,0.463
02/15/2016,-123.560022,48.149721,297163.468,131422.582,-19.566,0.544
02/15/2016,-123.560030,48.149727,297162.946,131423.183,-19.647,0.463
02/15/2016,-123.560036,48.149732,297162.449,131423.809,-19.747,0.363
02/15/2016,-123.560045,48.149737,297161.848,131424.391,-19.616,0.494
02/15/2016,-123.560053,48.149742,297161.246,131424.936,-19.596,0.514
02/15/2016,-123.560061,48.149746,297160.652,131425.451,-19.604,0.506
02/15/2016,-123.560072,48.149751,297159.906,131426.009,-19.442,0.668
02/15/2016,-123.560081,48.149756,297159.261,131426.630,-19.300,0.810
02/15/2016,-123.560089,48.149762,297158.646,131427.311,-19.321,0.789
02/15/2016,-123.560098,48.149766,297157.984,131427.774,-19.269,0.841
02/15/2016,-123.560106,48.149771,297157.402,131428.300,-19.206,0.904
02/15/2016,-123.560115,48.149775,297156.812,131428.820,-19.171,0.939
02/15/2016,-123.560124,48.149779,297156.094,131429.269,-19.058,1.052
02/15/2016,-123.560133,48.149784,297155.463,131429.801,-19.027,1.083
02/15/2016,-123.560143,48.149788,297154.775,131430.281,-19.013,1.097
02/15/2016,-123.560152,48.149791,297154.058,131430.721,-18.975,1.135
02/15/2016,-123.560161,48.149796,297153.410,131431.227,-18.972,1.138
02/15/2016,-123.560172,48.149799,297152.673,131431.661,-19.046,1.064
02/15/2016,-123.560181,48.149804,297151.997,131432.151,-19.082,1.028
02/15/2016,-123.560190,48.149808,297151.343,131432.643,-19.088,1.022
02/15/2016,-123.560198,48.149812,297150.728,131433.120,-19.057,1.053
02/15/2016,-123.560208,48.149817,297150.031,131433.700,-19.024,1.086
02/15/2016,-123.560216,48.149822,297149.442,131434.277,-19.040,1.070
02/15/2016,-123.560225,48.149826,297148.812,131434.726,-19.053,1.057
02/15/2016,-123.560234,48.149831,297148.139,131435.313,-19.105,1.005
02/15/2016,-123.560243,48.149836,297147.467,131435.933,-19.187,0.923
02/15/2016,-123.560251,48.149841,297146.904,131436.441,-19.131,0.979
02/15/2016,-123.560258,48.149847,297146.460,131437.112,-19.018,1.092
02/15/2016,-123.560261,48.149853,297146.235,131437.870,-19.115,0.995
02/15/2016,-123.560266,48.149860,297145.865,131438.635,-19.337,0.773
02/15/2016,-123.560267,48.149867,297145.874,131439.430,-19.240,0.870
02/15/2016,-123.560261,48.149873,297146.311,131440.054,-19.171,0.939
02/15/2016,-123.560251,48.149878,297147.049,131440.567,-19.029,1.081
02/15/2016,-123.560242,48.149881,297147.745,131440.897,-19.021,1.089
02/15/2016,-123.560231,48.149884,297148.580,131441.260,-18.985,1.125
02/15/2016,-123.560220,48.149886,297149.407,131441.396,-18.971,1.139
02/15/2016,-123.560209,48.149887,297150.266,131441.534,-19.041,1.069
02/15/2016,-123.560196,48.149889,297151.168,131441.653,-19.467,0.643
02/15/2016,-123.560184,48.149890,297152.120,131441.717,-19.548,0.562
02/15/2016,-123.560190,48.149896,297151.682,131442.447,-19.646,0.464
