FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median Phi, Inman Mean Phi, Inman Sorting Phi, Inman Skew 16-84 Phi, Inman Skew 05-95 Phi, Inman Kurtosis Phi,Moment 1,Moment 2,Moment 3,Moment 4,
2016-608-FA,T3-5,Yes,2/17/2016,16:14:49,48.149193,-123.561846,Surface, 16-608FA_01,0,0.24,0,0.11,1.15,3.1,5.41,7.58,9.58,11.29,11.78,11.29,10.13,8.68,6.79,4.66,2.7,1.37,0.64,0.31,0.16,0.09,0.06,0.05,0.06,0.06,0.07,0.08,0.09,0.11,0.14,0.17,0.19,0.2,0.2,0.19,0.18,0.16,0.14,0.12,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.04,0.03,0.02,0.01,0,0,0,0.24,96.82,2,0.94,2.94,0.02,0.25,0.46,0.7,1.25,1.85,2.13,2.4,2.84,1.25,1.28,0.85,0.10,1.01,1.25,1.29,0.84,0.06,0.22,0.68,1.42,1.72,3.17,18,
2016-608-FA,T3-5 duplicate,Yes,2/17/2016,16:14:49,48.149193,-123.561846,Surface, 16-608FA_28,0,0.24,0,0.04,0.6,1.81,3.8,5.55,7.57,9.88,11.43,11.91,11.62,10.46,8.34,5.91,3.61,1.91,0.91,0.43,0.22,0.13,0.08,0.05,0.05,0.06,0.08,0.09,0.1,0.13,0.17,0.21,0.24,0.25,0.25,0.25,0.22,0.2,0.17,0.15,0.13,0.12,0.11,0.11,0.11,0.09,0.07,0.05,0.04,0.03,0.01,0,0,0,0.24,96.12,2.45,1.2,3.65,0.18,0.42,0.64,0.9,1.44,2,2.28,2.56,3.09,1.44,1.46,0.85,0.08,1.08,1.44,1.46,0.82,0.02,0.23,0.77,1.62,1.91,3.09,16.37,
2016-608-FA,T3-4,Yes,2/17/2016,16:18:36,48.149828,-123.562426,Surface, 16-608FA_02,0,0,0,0,0,0.15,0.62,1.16,1.85,2.82,3.61,4.08,4.24,4.11,3.52,2.59,1.66,1.04,0.72,0.59,0.59,0.7,0.99,1.61,2.37,3.06,3.56,3.9,4.16,4.35,4.49,4.44,4.24,3.92,3.52,3.13,2.67,2.31,1.98,1.65,1.44,1.27,1.14,1.06,1,0.9,0.86,0.71,0.57,0.39,0.22,0.05,0,0,0,34.08,52.7,13.22,65.92,0.87,1.24,1.6,2.17,5.53,6.99,7.7,8.44,9.43,5.53,4.95,2.82,-0.19,0.73,5.53,4.65,3.05,-0.29,-0.12,0.4,5.03,7.51,-0.07,1.99,
2016-608-FA,T3-3,Yes,2/17/2016,16:21:33,48.150303,-123.562777,Surface, 16-608FA_03,0.49,5.89,0.78,1.29,2.22,3.39,4.4,4.92,5.15,5.4,5.57,5.92,6.87,8.19,9.07,8.66,6.96,4.66,2.64,1.32,0.64,0.33,0.18,0.14,0.14,0.15,0.16,0.17,0.18,0.21,0.25,0.29,0.32,0.33,0.32,0.31,0.28,0.25,0.22,0.19,0.17,0.16,0.15,0.14,0.13,0.11,0.1,0.07,0.06,0.04,0.02,0.01,0,0,6.38,88.37,3.67,1.58,5.25,-0.82,-0.31,0.12,0.58,1.67,2.41,2.71,3.02,4.37,1.67,1.50,1.43,-0.08,1.16,1.67,1.41,1.29,-0.2,0.08,1.01,1.66,3.21,1.57,8.08,
2016-608-FA,T3-2,Yes,2/17/2016,16:24:11,48.150766,-123.56318,Surface, 16-608FA_04,0,2.63,0.01,0.35,1.62,3.71,6.29,9,11.46,13.37,13.46,11.94,9.37,6.46,3.89,2.03,0.93,0.44,0.23,0.12,0.07,0.04,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.12,0.14,0.16,0.17,0.17,0.16,0.15,0.14,0.12,0.11,0.1,0.09,0.08,0.08,0.08,0.06,0.05,0.04,0.03,0.02,0.01,0,0,0,2.63,94.78,1.73,0.87,2.6,-0.21,0.08,0.3,0.54,1.03,1.53,1.78,2.02,2.43,1.03,1.04,0.77,0.03,1.08,1.03,1.04,0.74,0.01,0.1,0.78,1.15,1.66,3.31,20.31,
2016-608-FA,T1-4,Yes,2/18/2016,14:13:26,48.149313,-123.567502,Surface, 16-608FA_05,60.36,6.17,3.39,3.72,4.15,4.45,4.35,3.85,3.15,2.31,1.5,0.86,0.46,0.26,0.16,0.11,0.07,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,66.52,32.93,0.39,0.16,0.55,-3.83,-3.67,-3.47,-3.17,-2.34,-0.42,0.1,0.47,0.9,-2.34,-1.90,1.61,0.37,0.70,-2.34,-1.68,1.79,0.37,0.49,0.33,-1.27,1.64,2.31,13.81,
2016-608-FA,T2-5,Yes,2/18/2016,14:22:00,48.149337,-123.564721,Surface, 16-608FA_06,0,0,0,0,0.01,0.04,0.08,0.14,0.4,0.89,1.22,1.52,2.34,3.85,5.65,7.21,8.2,8.29,7.69,6.77,5.65,4.54,3.67,3.18,2.9,2.62,2.29,1.96,1.67,1.49,1.42,1.39,1.36,1.29,1.2,1.1,0.98,0.88,0.79,0.69,0.64,0.59,0.56,0.53,0.51,0.46,0.42,0.34,0.27,0.19,0.11,0.02,0,0,0,64.47,29.4,6.13,35.53,1.59,1.98,2.25,2.56,3.34,4.83,5.96,7.06,8.37,3.34,3.85,1.96,0.45,1.23,3.34,4.1,1.86,0.41,0.88,0.83,3.94,4.2,1.21,4.11,
2016-608-FA,T2-3,Yes,2/18/2016,14:29:26,48.149919,-123.565342,Surface, 16-608FA_07,63.36,5.28,1.38,1.72,2.27,2.91,3.4,3.61,3.55,3.24,2.68,2,1.37,0.87,0.54,0.32,0.19,0.12,0.08,0.06,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,68.63,30.42,0.69,0.26,0.95,-3.84,-3.68,-3.5,-3.21,-2.42,-0.16,0.51,0.94,1.45,-2.42,-1.80,1.80,0.46,0.71,-2.42,-1.49,2,0.46,0.61,0.32,-1.17,2.33,2.22,11.15,
2016-608-FA,T2-2,Yes,2/18/2016,14:37:03,48.150137,-123.565642,Surface, 16-608FA_08,0,1.97,0.01,0.34,1.39,3.09,5.22,7.59,10.23,13,14.43,13.76,10.99,7.29,3.97,1.83,0.79,0.41,0.25,0.15,0.08,0.07,0.06,0.06,0.07,0.08,0.1,0.1,0.11,0.13,0.15,0.18,0.19,0.2,0.2,0.19,0.17,0.16,0.14,0.12,0.11,0.1,0.1,0.09,0.08,0.07,0.06,0.04,0.03,0.02,0.01,0,0,0,1.97,94.87,2.17,1,3.16,-0.11,0.17,0.4,0.64,1.13,1.59,1.82,2.04,2.49,1.13,1.11,0.75,0.00,1.12,1.13,1.11,0.71,-0.03,0.08,0.83,1.25,1.78,3.35,19.4,
2016-608-FA,T4-2,Yes,2/18/2016,14:59:23,48.151432,-123.561079,Surface, 16-608FA_09,3.65,6.77,0,0.21,0.91,2.03,3.44,5.17,7.41,10.09,11.99,12.42,11.04,8.58,5.72,3.25,1.6,0.78,0.43,0.26,0.18,0.12,0.08,0.07,0.08,0.11,0.12,0.13,0.14,0.16,0.19,0.22,0.24,0.25,0.25,0.24,0.22,0.2,0.18,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.07,0.05,0.04,0.03,0.02,0,0,0,10.42,85.63,2.71,1.24,3.95,-0.62,-0.95,0.19,0.61,1.22,1.75,2.01,2.29,2.98,1.22,1.14,1.00,-0.07,1.29,1.22,1.1,0.91,-0.13,-0.04,0.98,1.23,2.75,1.84,10.98,
