FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
2015-648-FA,TW1_B,yes,7/28/2015,16:11:08,48.144645,-123.583773,Grab, 15-648FA_01,0,0,0.36,0.44,0.51,0.61,0.72,0.83,0.96,1.18,1.46,1.78,2.07,2.22,2.18,2.06,2.02,2.13,2.29,2.47,2.71,2.71,2.51,2.56,2.96,3.36,3.46,3.36,3.37,3.54,3.85,4.03,4.08,3.96,3.7,3.39,2.97,2.6,2.25,1.88,1.62,1.41,1.26,1.15,1.07,0.96,0.91,0.76,0.61,0.42,0.24,0.06,0,0,0,31.71,53.68,14.61,68.29,0.88,1.65,2.34,3.37,5.51,7.15,7.86,8.57,9.51,5.51,5.24,2.69,-0.11,0.94,5.51,5.1,2.76,-0.15,-0.11,0.56,5.29,6.78,-0.14,2.39, 
2015-648-FA,TW1_A,yes,7/28/2015,16:20:10,48.143021,-123.581798,Grab, 15-648FA_02,0,0.09,0,0,0.12,0.48,1.01,1.64,2.48,3.79,5.2,6.18,6.22,5.2,3.55,2.11,1.49,1.64,2.11,2.61,2.92,2.75,2.37,2.29,2.47,2.59,2.51,2.35,2.29,2.36,2.53,2.64,2.66,2.58,2.42,2.24,1.98,1.75,1.52,1.28,1.11,0.98,0.89,0.83,0.79,0.71,0.68,0.57,0.46,0.32,0.18,0.04,0,0,0.09,51.5,38.05,10.36,48.41,0.68,1.02,1.3,1.67,3.86,6.41,7.29,8.06,9.13,3.86,4.15,2.78,0.2,0.73,3.86,4.29,2.99,0.15,0.35,0.41,4.19,7.64,0.43,2.12, 
2015-648-FA,TW1_0,yes,7/28/2015,16:24:47,48.14168,-123.580192,Grab, 15-648FA_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.48,1.45,3.19,5.07,6.34,6.57,5.99,5.13,4.54,4.26,4.06,3.93,3.88,3.77,3.52,3.26,3.24,3.3,3.28,3.09,2.77,2.44,2.11,1.94,1.85,1.68,1.49,1.24,0.98,0.79,0.7,0.67,0.73,0.7,0.64,0.49,0.3,0.07,0,0,0,34.28,53.39,12.32,65.72,2.74,2.99,3.23,3.58,4.93,6.73,7.55,8.32,9.28,4.93,5.24,2.07,0.27,0.85,4.93,5.39,2.16,0.21,0.5,0.51,5.32,4.28,0.68,2.69, 
2015-648-FA,TW1_1,yes,7/28/2015,16:27:51,48.140915,-123.579529,Grab, 15-648FA_04,0,0,0,0,0,0.01,0.06,0.16,0.56,1.29,1.58,1.34,1.37,2.49,5.15,9.33,14.5,17.56,16.4,11.62,6.14,2.48,0.97,0.6,0.45,0.31,0.23,0.22,0.22,0.25,0.3,0.35,0.39,0.41,0.41,0.39,0.35,0.31,0.26,0.2,0.17,0.15,0.14,0.14,0.14,0.14,0.14,0.12,0.1,0.07,0.04,0.01,0,0,0,92.04,6.16,1.8,7.96,1.5,2.07,2.32,2.54,2.93,3.32,3.52,3.79,5.7,2.93,2.92,0.94,0.15,2.19,2.93,2.92,0.6,-0.02,1.11,2.48,3.08,1.72,2.68,13.44, 
2015-648-FA,TW1_2,yes,7/28/2015,16:30:33,48.140557,-123.579068,Grab, 15-648FA_05,0,0,0,0,0,0.01,0.02,0.06,0.35,0.99,1.22,0.87,0.76,1.8,4.68,9.5,15.49,19.1,17.86,12.54,6.36,2.3,0.78,0.48,0.4,0.3,0.23,0.21,0.21,0.22,0.24,0.26,0.27,0.27,0.26,0.25,0.23,0.21,0.19,0.16,0.14,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.06,0.04,0.02,0.01,0,0,0,93.9,4.82,1.28,6.1,1.88,2.23,2.41,2.59,2.94,3.3,3.48,3.68,4.41,2.94,2.94,0.65,0.08,1.47,2.94,2.94,0.53,0,0.39,1.39,3.06,1.25,3.03,17.45, 
2015-648-FA,TW1_3,yes,7/28/2015,16:34:09,48.140211,-123.578271,Grab, 15-648FA_06,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.41,4.99,10.5,16.68,19.78,17.82,12.07,6.17,2.44,0.91,0.46,0.32,0.23,0.18,0.15,0.17,0.22,0.29,0.36,0.4,0.42,0.42,0.41,0.37,0.34,0.3,0.26,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.15,0.11,0.06,0.03,0.01,0,0,0,91.98,5.65,2.37,8.02,2.23,2.36,2.49,2.64,2.96,3.33,3.52,3.8,6.32,2.96,2.99,0.88,0.36,2.43,2.96,3.01,0.52,0.09,2.53,2.94,3.23,1.67,3.36,15.49, 
2015-648-FA,TW1_4,yes,7/28/2015,16:38:16,48.139832,-123.577873,Grab, 15-648FA_07,0,0,0,0,0,0,0,0,0.15,0.71,0.79,0.31,0.42,2.57,7.42,13.89,19.54,20.11,15.42,8.68,3.48,1.1,0.46,0.33,0.24,0.16,0.13,0.13,0.14,0.17,0.22,0.26,0.28,0.29,0.29,0.28,0.25,0.23,0.2,0.17,0.16,0.14,0.14,0.13,0.13,0.12,0.12,0.09,0.07,0.04,0.02,0.01,0,0,0,94.6,3.86,1.55,5.4,2,2.21,2.33,2.49,2.81,3.15,3.32,3.5,4.22,2.81,2.82,0.58,0.16,1.37,2.81,2.83,0.5,0.05,0.61,1.23,2.97,1.31,3.58,19.54, 
2015-648-FA,TW2_4,yes,7/28/2015,16:42:24,48.142394,-123.573499,Grab, 15-648FA_08,0,0,0,0,0.02,0.04,0.05,0.03,0.18,0.66,0.71,0.35,0.6,2.53,6.41,11.51,16.18,17.52,14.84,9.81,5.18,2.32,1.04,0.58,0.42,0.36,0.32,0.3,0.32,0.37,0.46,0.55,0.6,0.63,0.63,0.6,0.55,0.5,0.45,0.38,0.32,0.28,0.24,0.21,0.2,0.18,0.17,0.14,0.11,0.08,0.05,0.01,0,0,0,88.95,8.23,2.82,11.05,2.01,2.22,2.37,2.54,2.91,3.34,3.62,4.25,7.04,2.91,2.96,1.08,0.39,2.58,2.91,2.99,0.63,0.13,2.57,3.02,3.24,2.21,2.57,10.42, 
2015-648-FA,TW2_3,yes,7/28/2015,16:45:03,48.142517,-123.574173,Grab, 15-648FA_09,0,0,0,0,0,0,0,0,0.11,0.72,0.85,0.36,0.54,2.11,4.84,8.62,13.75,17.59,17.6,13.35,7.58,3.3,1.28,0.62,0.42,0.33,0.27,0.23,0.23,0.25,0.31,0.36,0.39,0.4,0.4,0.38,0.34,0.31,0.27,0.23,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.14,0.1,0.05,0.03,0.01,0,0,0,91.32,6.53,2.15,8.68,2.02,2.27,2.45,2.64,3.01,3.4,3.62,3.9,6.03,3.01,3.03,0.9,0.28,2.17,3.01,3.03,0.58,0.04,1.76,2.45,3.22,1.68,2.96,14.19, 
2015-648-FA,TW2_2,yes,7/28/2015,16:49:45,48.14274,-123.574735,Grab, 15-648FA_10,0,0.12,0,0,0,0.03,0.06,0.02,0.08,0.29,0.44,0.58,1,2.26,4.56,7.95,12.38,15.76,16.15,12.98,8.13,3.98,1.72,0.88,0.65,0.56,0.47,0.41,0.4,0.43,0.51,0.57,0.61,0.62,0.61,0.58,0.53,0.48,0.42,0.37,0.33,0.3,0.28,0.27,0.27,0.25,0.24,0.19,0.14,0.08,0.05,0.01,0,0,0.12,86.65,10.02,3.21,13.23,2.01,2.27,2.47,2.67,3.07,3.51,3.82,4.74,7.17,3.07,3.12,1.12,0.35,2.51,3.07,3.15,0.68,0.11,2.24,2.81,3.4,2.32,2.42,9.8, 
