FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
2014-649-FA,TW1_B,yes,9/5/2014,17:01:06,48.144671,-123.583655,grab, 649OS_01,0,1.5,0.43,0.53,0.67,0.83,1.01,1.15,1.24,1.27,1.24,1.22,1.24,1.32,1.44,1.6,1.8,2.06,2.45,2.78,2.84,2.72,2.7,3.01,3.42,3.65,3.63,3.55,3.6,3.76,3.98,4.04,3.95,3.75,3.44,3.14,2.75,2.43,2.12,1.8,1.56,1.37,1.22,1.1,1.02,0.9,0.85,0.69,0.56,0.38,0.22,0.05,0,0,1.5,29.86,54.8,13.84,68.64,0.26,1.27,2.39,3.43,5.41,7.04,7.78,8.49,9.43,5.41,5.19,2.74,-0.12,1.04,5.41,5.08,2.69,-0.12,-0.21,0.7,5.17,7.17,-0.28,2.62,
2014-649-FA,TW1_A,yes,9/5/2014,17:08:42,48.14305,-123.58191,grab, 649OS_02,0,0,0,0,0.14,0.32,0.56,0.88,1.32,2.08,3.01,3.84,4.16,3.8,2.9,1.99,1.58,1.82,2.4,2.97,3.27,3.29,3.2,3.21,3.26,3.25,3.11,2.95,2.92,3.02,3.2,3.26,3.22,3.07,2.86,2.63,2.33,2.08,1.83,1.55,1.35,1.19,1.06,0.97,0.9,0.8,0.75,0.61,0.49,0.34,0.19,0.04,0,0,0,40.34,47.56,12.09,59.66,0.26,1.37,1.73,2.5,4.75,6.76,7.55,8.29,9.28,4.75,4.68,2.71,0.03,0.8,4.75,4.64,2.91,-0.04,0.13,0.43,4.8,6.82,0.18,2.17,
2014-649-FA,TW1_0,yes,9/5/2014,17:11:42,48.141719,-123.580041,grab, 649OS_03,0,3.81,0.14,0.33,1.05,2.38,3.87,5.16,6.29,7.25,7.11,5.68,3.78,2.36,1.72,1.79,2.52,3.5,4.18,4.14,3.47,2.66,2.1,1.84,1.71,1.58,1.44,1.32,1.27,1.28,1.32,1.33,1.29,1.22,1.13,1.04,0.92,0.82,0.73,0.63,0.56,0.51,0.47,0.44,0.42,0.37,0.34,0.27,0.21,0.15,0.08,0.02,0,0,3.81,69.39,21.61,5.19,26.8,-0.28,0.16,0.47,0.82,2.11,4.21,5.66,6.82,8.06,2.11,2.75,2.56,0.4,1.01,2.11,3.06,2.6,0.37,0.69,0.61,2.8,6.9,0.87,3.13,
2014-649-FA,TW1_1,yes,9/5/2014,17:14:46,48.141115,-123.579185,grab, 649OS_04,0,0,0,0,0,0,0.01,0.06,0.33,0.79,0.93,0.75,0.96,2.26,4.93,8.6,12.34,14.15,12.95,9.5,5.68,3.03,1.74,1.28,1.11,1,0.89,0.84,0.87,0.97,1.11,1.19,1.22,1.2,1.14,1.08,0.97,0.88,0.78,0.67,0.58,0.52,0.46,0.42,0.39,0.35,0.33,0.28,0.22,0.16,0.09,0.02,0,0,0,77.26,17.48,5.26,22.74,1.91,2.22,2.41,2.62,3.08,3.81,5.46,6.86,8.08,3.08,3.65,1.7,0.59,2.13,3.08,3.94,1.52,0.56,1.26,1.02,3.69,3.62,1.67,5.36,
2014-649-FA,TW1_2,yes,9/5/2014,17:16:58,48.14063,-123.578721,grab, 649OS_05,0,0,0,0,0,0.05,0.18,0.14,0.21,0.71,1.01,0.71,0.58,1.63,4.39,8.77,14.02,17.15,15.91,11.21,6.04,2.68,1.25,0.79,0.63,0.55,0.5,0.47,0.49,0.55,0.65,0.71,0.75,0.74,0.72,0.68,0.61,0.56,0.5,0.43,0.39,0.36,0.34,0.33,0.33,0.31,0.3,0.25,0.19,0.13,0.07,0.02,0,0,0,85.4,10.67,3.94,14.6,1.99,2.27,2.45,2.63,3.01,3.46,3.87,5.71,7.55,3.01,3.11,1.2,0.42,2.75,3.01,3.16,0.71,0.21,2.49,2.93,3.43,2.78,2.24,8.35,
2014-649-FA,TW1_3,yes,9/5/2014,17:19:23,48.140186,-123.578098,grab, 649OS_06,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.16,5.7,12.36,18.83,20.85,17.57,11.05,5.18,1.82,0.67,0.42,0.32,0.22,0.15,0.13,0.14,0.17,0.22,0.25,0.25,0.26,0.26,0.25,0.23,0.22,0.19,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.08,0.06,0.05,0.04,0.02,0,0,0,0,94.55,4.18,1.27,5.45,2.26,2.34,2.46,2.59,2.9,3.23,3.42,3.61,4.16,2.9,2.93,0.53,0.2,1.22,2.9,2.94,0.48,0.08,0.65,0.98,3.07,1.06,3.94,22.38,
2014-649-FA,TW1_4,yes,9/5/2014,17:21:44,48.13983,-123.577791,grab, 649OS_07,0,0,0,0,0.02,0.02,0.08,0.14,0.46,1.06,1.39,1.34,1.95,4.41,8.98,14.39,18.28,17.62,13.02,7.23,2.96,0.97,0.42,0.29,0.22,0.17,0.14,0.14,0.17,0.22,0.28,0.32,0.33,0.34,0.33,0.31,0.28,0.26,0.23,0.19,0.17,0.14,0.13,0.11,0.1,0.09,0.09,0.07,0.06,0.04,0.02,0.01,0,0,0,94.34,4.21,1.45,5.66,1.57,1.97,2.17,2.35,2.72,3.09,3.28,3.49,4.46,2.72,2.72,0.71,0.1,1.6,2.72,2.72,0.55,0.01,0.53,1.6,2.87,1.46,3.05,16.11,
2014-649-FA,TW2_4,yes,9/5/2014,17:27:05,48.142034,-123.573854,grab, 649OS_08,0,0,0,0,0,0,0.03,0.09,0.43,0.96,1.16,1.04,1.51,3.62,7.62,12.58,16.74,17.43,14.46,9.43,4.85,2.06,0.87,0.47,0.3,0.21,0.16,0.14,0.15,0.18,0.23,0.27,0.29,0.3,0.29,0.28,0.26,0.24,0.21,0.18,0.16,0.14,0.12,0.1,0.09,0.08,0.08,0.07,0.05,0.04,0.02,0,0,0,0,94.03,4.63,1.35,5.97,1.72,2.05,2.24,2.44,2.81,3.2,3.42,3.65,4.3,2.81,2.82,0.69,0.09,1.38,2.81,2.83,0.59,0.02,0.34,1.2,2.95,1.34,3,16.49,
2014-649-FA,TW2_3,yes,9/5/2014,17:28:35,48.142511,-123.573957,grab, 649OS_09,0,0,0,0,0,0.05,0.1,0.07,0.24,0.83,1.17,1.29,2.05,4.13,7.42,11.29,14.84,16.17,14.36,10.17,5.7,2.57,1.08,0.58,0.4,0.32,0.25,0.21,0.21,0.24,0.29,0.33,0.35,0.35,0.34,0.32,0.29,0.26,0.22,0.19,0.18,0.17,0.17,0.17,0.17,0.14,0.11,0.08,0.06,0.04,0.02,0.01,0,0,0,92.45,5.8,1.75,7.55,1.67,2,2.22,2.43,2.86,3.27,3.5,3.76,5.18,2.86,2.86,0.85,0.16,1.71,2.86,2.86,0.64,0,0.89,1.75,3.02,1.61,2.8,14.1,
2014-649-FA,TW2_2,yes,9/5/2014,17:30:15,48.14282,-123.574677,grab, 649OS_10,0.62,0,0,0,0,0,0.01,0.01,0.05,0.21,0.26,0.21,0.27,0.6,1.19,1.94,2.79,3.43,3.6,3.24,2.7,2.32,2.28,2.63,3.1,3.41,3.44,3.38,3.54,3.93,4.43,4.69,4.75,4.61,4.31,3.98,3.52,3.11,2.72,2.28,1.97,1.72,1.51,1.37,1.27,1.13,1.07,0.89,0.71,0.49,0.28,0.06,0,0,0.62,22.82,59.11,17.46,76.56,2.46,2.89,3.32,4.17,6.05,7.44,8.13,8.82,9.68,6.05,5.83,2.3,-0.06,0.9,6.05,5.72,2.41,-0.14,0.01,0.5,5.89,5.16,-0.16,2.95,
