FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
2014-620-FA,TW1_1,yes,5/12/2014,15:29:29,48.140864,-123.578352,grab, 620FA_01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.09,0.42,0.49,0.25,0.20,0.83,2.51,5.36,9.13,11.91,12.17,9.72,6.21,3.38,1.89,1.42,1.37,1.40,1.38,1.40,1.54,1.77,2.04,2.21,2.26,2.21,2.09,1.95,1.73,1.54,1.35,1.13,0.98,0.86,0.78,0.72,0.68,0.62,0.60,0.50,0.41,0.29,0.16,0.04,0.00,0.00,0.00,62.68,28.18,9.13,37.32,2.26,2.50,2.68,2.88,3.42,6.02,7.05,7.86,8.94,3.42,4.38,2.11,0.66,0.87,3.42,4.86,2.19,0.66,1.00,0.53,4.42,4.84,1.06,3.12, 
2014-620-FA,TW1_2,yes,5/12/2014,15:34:42,48.140522,-123.578601,grab, 620FA_02,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.14,0.34,0.73,0.72,0.35,0.37,1.53,4.40,8.95,14.23,17.16,16.10,11.89,7.00,3.50,1.71,0.99,0.70,0.55,0.44,0.36,0.33,0.36,0.44,0.51,0.54,0.55,0.54,0.52,0.49,0.45,0.40,0.35,0.31,0.28,0.26,0.25,0.24,0.22,0.22,0.18,0.14,0.09,0.05,0.01,0.00,0.00,0.00,87.53,9.47,3.00,12.47,2.07,2.30,2.47,2.65,3.02,3.46,3.75,4.44,7.00,3.02,3.08,1.07,0.38,2.49,3.02,3.11,0.64,0.15,2.37,2.86,3.34,2.21,2.52,10.55, 
2014-620-FA,TW1_3,yes,5/12/2014,15:39:49,48.140144,-123.578193,grab, 620FA_03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.80,3.98,9.28,15.58,19.17,17.85,12.85,7.18,3.33,1.48,0.73,0.43,0.31,0.28,0.25,0.23,0.27,0.35,0.41,0.45,0.47,0.46,0.45,0.41,0.37,0.32,0.28,0.25,0.23,0.23,0.23,0.23,0.22,0.21,0.17,0.12,0.07,0.04,0.01,0.00,0.00,0.00,90.05,7.34,2.61,9.95,2.26,2.42,2.54,2.69,3.02,3.41,3.65,4.00,6.62,3.02,3.07,0.94,0.40,2.48,3.02,3.10,0.56,0.14,2.56,2.92,3.32,1.80,3.16,13.93, 
2014-620-FA,TW1_4,yes,5/12/2014,15:43:31,48.139947,-123.577731,grab, 620FA_04,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.37,0.84,1.57,2.28,3.29,5.42,8.94,13.03,15.92,16.11,13.12,8.45,4.26,1.67,0.59,0.28,0.19,0.13,0.10,0.09,0.09,0.10,0.13,0.18,0.21,0.23,0.24,0.24,0.23,0.20,0.19,0.16,0.14,0.13,0.12,0.11,0.10,0.10,0.08,0.07,0.05,0.04,0.03,0.02,0.00,0.00,0.00,0.00,96.02,2.82,1.16,3.98,1.23,1.58,1.82,2.05,2.48,2.89,3.09,3.28,3.68,2.47,2.46,0.69,-0.02,1.20,2.47,2.45,0.63,-0.03,-0.03,0.94,2.57,1.33,3.17,18.35, 
2014-620-FA,TW1_5,yes,5/12/2014,15:48:02,48.139748,-123.577646,grab, 620FA_05,9.01,0.40,0.00,0.00,0.09,0.29,0.61,1.05,1.69,2.59,3.64,5.05,7.15,9.81,12.26,13.32,12.09,8.85,5.18,2.32,0.79,0.26,0.16,0.13,0.09,0.07,0.07,0.07,0.09,0.12,0.16,0.20,0.22,0.23,0.22,0.21,0.19,0.17,0.16,0.14,0.13,0.12,0.11,0.11,0.10,0.08,0.07,0.05,0.04,0.03,0.02,0.00,0.00,0.00,9.41,87.03,2.40,1.15,3.56,-2.89,0.11,1.02,1.52,2.18,2.67,2.89,3.10,3.46,2.18,2.03,1.43,-0.42,2.27,2.18,1.95,0.93,-0.24,-2.03,2.40,1.91,3.30,-0.01,7.20, 
2014-620-FA,TW2_1,yes,5/12/2014,15:56:14,48.143268,-123.574851,grab, 620FA_06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.49,1.51,2.97,4.89,6.61,7.32,6.69,5.09,3.36,2.20,1.91,2.16,2.54,2.76,2.87,3.03,3.31,3.67,3.82,3.80,3.64,3.38,3.09,2.72,2.41,2.10,1.76,1.52,1.33,1.18,1.07,1.01,0.91,0.87,0.72,0.58,0.40,0.23,0.05,0.00,0.00,0.00,38.96,47.31,13.73,61.04,2.50,2.76,2.98,3.30,5.21,7.03,7.76,8.48,9.45,5.20,5.32,2.25,0.15,0.76,5.20,5.37,2.39,0.07,0.32,0.45,5.36,5.04,0.44,2.19, 
2014-620-FA,TW2_2,yes,5/12/2014,16:00:26,48.143039,-123.574341,grab, 620FA_07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.42,0.54,0.33,0.43,1.37,3.17,5.58,8.44,10.76,11.66,10.46,7.80,4.80,2.67,1.67,1.41,1.38,1.34,1.29,1.32,1.46,1.68,1.83,1.90,1.88,1.79,1.68,1.51,1.35,1.18,1.00,0.87,0.76,0.69,0.64,0.60,0.55,0.52,0.43,0.34,0.23,0.12,0.03,0.00,0.00,0.00,65.89,26.16,7.95,34.11,2.17,2.43,2.63,2.87,3.42,5.37,6.77,7.63,8.72,3.42,4.28,2.03,0.62,1.07,3.42,4.70,2.07,0.62,0.98,0.58,4.26,4.42,1.21,3.60, 
2014-620-FA,TW2_3,yes,5/12/2014,16:05:15,48.142594,-123.573882,grab, 620FA_08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.66,0.85,0.72,0.98,2.26,4.73,8.06,11.86,14.40,14.54,11.91,7.78,4.05,1.81,0.91,0.66,0.55,0.49,0.45,0.46,0.55,0.70,0.82,0.89,0.92,0.91,0.88,0.80,0.73,0.65,0.55,0.49,0.43,0.39,0.37,0.35,0.32,0.31,0.25,0.19,0.12,0.07,0.02,0.00,0.00,0.00,82.96,12.52,4.52,17.04,1.96,2.24,2.44,2.65,3.10,3.62,4.14,6.40,7.83,3.10,3.22,1.31,0.42,2.48,3.10,3.29,0.85,0.23,2.12,2.46,3.56,3.05,2.04,7.04, 
2014-620-FA,TW2_4,yes,5/12/2014,16:10:41,48.142045,-123.573523,grab, 620FA_09,1.47,0.93,0.00,0.12,0.62,1.47,2.58,3.77,5.09,6.71,8.21,9.41,10.23,10.52,10.14,8.81,6.79,4.61,2.74,1.44,0.67,0.32,0.16,0.11,0.10,0.11,0.11,0.10,0.11,0.13,0.17,0.19,0.20,0.21,0.20,0.19,0.17,0.15,0.14,0.12,0.11,0.10,0.09,0.09,0.08,0.07,0.06,0.04,0.03,0.02,0.01,0.00,0.00,0.00,2.39,94.24,2.41,0.96,3.37,0.05,0.45,0.75,1.08,1.74,2.36,2.64,2.92,3.38,1.74,1.71,0.98,-0.03,1.07,1.74,1.70,0.95,-0.04,-0.02,0.76,1.79,2.05,1.69,11.86, 
2014-620-FA,TW3_1,yes,5/12/2014,16:17:05,48.146217,-123.572340,grab, 620FA_10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.45,0.99,1.78,2.65,3.34,3.62,3.49,3.18,2.99,3.21,3.66,4.03,4.14,4.09,4.13,4.33,4.66,4.79,4.73,4.50,4.16,3.81,3.35,2.96,2.58,2.17,1.87,1.63,1.45,1.31,1.23,1.11,1.07,0.89,0.72,0.50,0.29,0.07,0.00,0.00,0.00,19.59,63.52,16.88,80.41,2.92,3.30,3.72,4.44,5.99,7.38,8.08,8.79,9.68,5.99,5.93,2.11,0.03,0.94,5.99,5.90,2.18,-0.04,0.14,0.55,6.01,4.12,0.25,2.42, 
