FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
W-07-13_PS,T00_1,yes,9/19/2013,19:27:56,48.148580,-123.571255,grab, W0713PS_OS_01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.41,0.47,0.50,1.18,2.27,3.44,4.76,6.13,6.75,6.61,5.91,5.01,4.05,3.31,2.93,2.82,2.76,2.67,2.54,2.48,2.54,2.73,2.84,2.84,2.74,2.56,2.36,2.07,1.84,1.60,1.35,1.16,1.02,0.90,0.82,0.77,0.69,0.65,0.54,0.43,0.29,0.16,0.04,0.00,0.00,0.00,47.55,42.04,10.42,52.45,2.01,2.35,2.63,2.97,4.19,6.49,7.32,8.06,9.08,4.18,4.71,2.24,0.36,0.82,4.18,4.98,2.35,0.34,0.58,0.51,4.80,5.10,0.65,2.53, 
W-07-13_PS,T00_2,yes,9/19/2013,19:31:05,48.148005,-123.570940,grab, W0713PS_OS_02,60.65,20.39,4.04,2.92,2.75,2.51,1.94,1.31,0.85,0.54,0.31,0.17,0.11,0.09,0.08,0.09,0.09,0.07,0.09,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,81.04,18.15,0.61,0.21,0.82,-3.84,-3.67,-3.47,-3.18,-2.35,-0.78,-0.82,-0.32,0.22,-2.35,-2.21,1.28,0.21,0.69,-2.35,-2.15,1.33,0.15,0.41,0.53,-1.64,1.53,3.58,24.89, 
W-07-13_PS,T00_6f,yes,9/19/2013,19:35:36,48.147479,-123.570386,grab, W0713PS_OS_05,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-3.90,-3.80,-3.68,-3.50,-3.00,-2.50,-2.32,-2.20,-2.10,-3.00,-3.00,0.61,0.00,0.74,-3.00,-3.00,0.68,0.00,0.00,0.32,-2.38,0.00,0.00,0.00,
W-07-13_PS,T00_A,yes,9/19/2013,19:24:15,48.148974,-123.571453,grab, W0713PS_OS_06,56.72,1.88,0.00,0.01,0.23,0.79,2.08,3.01,3.88,4.79,5.19,4.99,4.63,3.87,2.68,1.55,0.85,0.50,0.30,0.20,0.13,0.09,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,58.60,39.75,1.26,0.40,1.66,-3.82,-3.65,-3.44,-3.12,-2.24,1.08,1.52,1.87,2.29,-2.24,-1.38,2.17,0.50,0.60,-2.24,-0.96,2.48,0.52,0.59,0.23,-0.75,4.34,1.15,4.65, 
W-07-13_PS,T01_0,yes,9/19/2013,19:14:29,48.150693,-123.569249,grab, W0713PS_OS_07,42.02,19.11,4.97,2.81,2.44,2.19,2.43,2.17,2.30,2.87,3.25,3.19,3.00,2.40,1.41,0.73,0.45,0.25,0.13,0.12,0.10,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.00,61.13,37.27,1.14,0.46,1.61,-3.76,-3.52,-3.24,-2.81,-0.66,0.15,1.06,1.52,1.98,-0.66,-0.95,1.94,-0.14,0.79,-0.66,-1.09,2.15,-0.20,-0.11,0.34,-0.87,3.26,1.83,8.68, 
W-07-13_PS,T01_9f,yes,9/19/2013,19:20:50,48.150088,-123.569449,grab, W0713PS_OS_08,84.62,8.79,0.81,0.69,0.72,0.69,0.66,0.56,0.46,0.40,0.33,0.23,0.17,0.14,0.10,0.07,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.41,6.23,0.26,0.10,0.36,-3.88,-3.76,-3.62,-3.41,-2.82,-2.23,-2.02,-0.73,-0.47,-2.82,-2.82,0.92,0.19,1.18,-2.82,-2.82,0.80,0.00,0.80,1.12,-2.07,0.86,5.33,45.94, 
W-07-13_PS,T01_B,yes,9/19/2013,19:17:47,48.150458,-123.569272,grab, W0713PS_OS_09,52.24,15.62,2.15,1.48,2.06,2.37,2.88,2.91,3.07,3.37,3.14,2.52,1.96,1.27,0.69,0.44,0.30,0.16,0.12,0.10,0.06,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,67.86,31.08,0.76,0.30,1.06,-3.81,-3.62,-3.39,-3.04,-2.09,-0.09,0.69,1.15,1.65,-2.09,-1.59,1.85,0.37,0.76,-2.09,-1.35,2.04,0.36,0.49,0.34,-1.14,2.77,1.90,9.16, 
W-07-13_PS,T02_0,yes,9/19/2013,19:03:43,48.151443,-123.567133,grab, W0713PS_OS_10,6.86,5.87,1.23,1.25,2.34,3.76,5.80,7.54,9.34,10.98,11.50,10.55,8.53,5.82,3.25,1.55,0.68,0.35,0.21,0.12,0.07,0.06,0.05,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.11,0.13,0.14,0.14,0.14,0.14,0.13,0.12,0.10,0.09,0.08,0.08,0.08,0.08,0.08,0.06,0.04,0.02,0.01,0.01,0.00,0.00,0.00,0.00,12.73,84.92,1.63,0.72,2.35,-2.54,-0.70,-0.40,0.17,0.89,1.45,1.71,1.94,2.31,0.89,0.73,1.26,-0.32,1.55,0.89,0.65,1.05,-0.23,-0.96,1.31,0.77,2.43,1.35,10.77, 
W-07-13_PS,T02_15f,yes,9/19/2013,19:10:52,48.151225,-123.567162,grab, W0713PS_OS_11,81.87,6.27,0.67,0.55,0.65,0.67,0.82,0.86,0.93,1.08,1.16,1.09,0.97,0.76,0.49,0.29,0.18,0.11,0.08,0.05,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.14,11.46,0.30,0.11,0.40,-3.88,-3.76,-3.61,-3.39,-2.78,-2.17,-0.64,-0.25,1.14,-2.78,-2.34,1.50,0.50,1.68,-2.78,-2.12,1.49,0.44,0.95,0.69,-1.89,1.52,3.35,18.16, 
W-07-13_PS,T02_22f,yes,9/19/2013,19:07:51,48.151665,-123.566918,grab, W0713PS_OS_12,2.85,5.81,1.89,1.72,3.22,4.74,6.84,8.43,9.88,10.78,10.51,9.15,7.41,5.56,3.72,2.23,1.37,0.81,0.41,0.22,0.14,0.08,0.05,0.05,0.06,0.06,0.07,0.08,0.08,0.08,0.11,0.13,0.14,0.14,0.14,0.14,0.13,0.11,0.09,0.08,0.06,0.06,0.07,0.07,0.08,0.06,0.04,0.01,0.01,0.01,0.00,0.00,0.00,0.00,8.66,89.13,1.56,0.65,2.21,-0.64,-0.82,-0.22,0.19,0.86,1.48,1.78,2.08,2.54,0.86,0.81,0.98,-0.01,1.01,0.86,0.78,1.00,-0.08,0.09,0.59,0.87,2.09,1.79,12.45, 
