FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -4.00 phi bin,Wt. percent in -3.75 phi bin,Wt. percent in -3.50 phi bin,Wt. percent in -3.25 phi bin,Wt. percent in -3.00 phi bin,Wt. percent in -2.75 phi bin,Wt. percent in -2.50 phi bin,Wt. percent in -2.25 phi bin,Wt. percent in -2.00 phi bin,Wt. percent in -1.75 phi bin,Wt. percent in -1.50 phi bin,Wt. percent in -1.25 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
W-01-13-PS,T00_1,yes,3/4/2013,21:09:14,48.14861,-123.571327,grab, W113PS_01,0,0,65.54,7,12.79,6.19,0,1.44,0.74,0.65,0.53,0,0.44,0,0,0.05,0.1,0.16,0.27,0.4,0.54,0.62,0.62,0.53,0.4,0.27,0.17,0.11,0.08,0.06,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,95.31,4.47,0.16,0.06,0.22,-1.88,-1.9,-1.95,-2.08,-2.8,-3.19,-3.02,-2.81,-0.63,-2.8,-2.59,-0.08,0.95,-0.46,-2.8,-2.48,-0.54,-0.59,-2.88,-2.16,-3.19,1.36,4.38,26.29, 
W-01-13-PS,T00_2,yes,3/4/2013,21:05:42,48.14835,-123.570929,grab, W113PS_02,90.61,1.84,1.59,5.73,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-3.42,-4,-4,0.09,0.5,0,-4,-4,0,0,0,0,-3.95,0.03,3.8,18.74, 
W-01-13-PS,T01_1,yes,3/4/2013,18:44:47,48.149961,-123.568722,grab, W113PS_03,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.07,0.56,1.79,4,6.99,10.37,13.4,15.16,14.58,12.13,8.5,5.05,2.53,1.11,0.47,0.25,0.16,0.1,0.07,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.08,0.1,0.12,0.15,0.16,0.17,0.16,0.15,0.14,0.13,0.11,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0,0,0,0.21,97.35,1.71,0.73,2.44,-0.07,0.14,0.32,0.52,0.96,1.41,1.64,1.86,2.21,0.96,0.97,0.68,0.06,1.05,0.96,0.98,0.66,0.02,0.17,0.73,1.1,1.41,3.94,24.77, 
W-01-13-PS,T01_A,yes,3/4/2013,22:07:30,48.150639,-123.569452,grab, W113PS_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.18,3.1,6.2,10,13.53,15.49,15.29,12.74,9,5.42,2.82,1.34,0.63,0.32,0.17,0.09,0.06,0.05,0.05,0.04,0.04,0.05,0.06,0.07,0.08,0.08,0.08,0.1,0.13,0.15,0.15,0.15,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0,0,0,0,97.67,1.6,0.73,2.33,-0.22,-0.02,0.15,0.34,0.76,1.2,1.42,1.65,2.01,0.76,0.78,0.66,0.09,1.06,0.76,0.79,0.64,0.05,0.22,0.75,0.91,1.41,4.21,27.01, 
W-01-13-PS,T01_2,yes,3/4/2013,18:52:24,48.149582,-123.567947,grab, W113PS_05,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.13,0.93,2.72,5.37,8.59,11.89,14.74,15.53,13.96,10.71,6.81,3.62,1.6,0.64,0.3,0.17,0.1,0.06,0.04,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.08,0.1,0.12,0.13,0.13,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0,0,0,0.19,97.9,1.33,0.58,1.91,0.06,0.27,0.46,0.66,1.09,1.52,1.73,1.94,2.24,1.09,1.09,0.65,0.03,1.03,1.09,1.09,0.64,0,0.09,0.7,1.19,1.15,4.03,27.77, 
W-01-13-PS,T01_3,yes,3/4/2013,18:50:16,48.149542,-123.567818,grab, W113PS_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.66,2.13,4.43,7.47,10.96,14.32,15.9,14.82,11.65,7.75,4.34,2.05,0.86,0.4,0.21,0.12,0.07,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.08,0.1,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0,0,98.32,1.17,0.51,1.68,0.15,0.36,0.53,0.74,1.16,1.59,1.8,1.99,2.3,1.16,1.16,0.64,0.03,1.03,1.16,1.17,0.63,0.01,0.1,0.7,1.25,1.03,4.04,29.16, 
W-01-13-PS,T01_6,yes,3/6/2013,0:46:04,48.148932,-123.566905,surface, W113PS_07,0,0,0,0,8.1,5.05,0,0.69,0.6,1.32,0.43,2.17,1.66,1.91,2.63,3.81,5.36,6.91,8.21,8.99,9.15,8.44,7.16,5.6,4.1,2.79,1.72,0.91,0.44,0.2,0.11,0.07,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.08,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0,0,20.02,78.58,0.99,0.41,1.4,-2.12,-2.91,-1.62,-0.47,0.53,1.24,1.56,1.86,2.24,0.53,0.16,1.45,-0.28,1.05,0.53,-0.03,1.59,-0.35,-0.3,0.37,0.23,3.15,0.27,6.17, 
W-01-13-PS,T02_1,yes,3/4/2013,19:00:23,48.150917,-123.566784,grab, W113PS_08,0,0,0,0,0,0,0,0,0,0.38,0.74,0,0.52,0.35,1.24,2.86,5.24,8.05,10.79,12.93,13.8,13.02,10.79,7.87,4.98,2.67,1.2,0.45,0.2,0.12,0.1,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0,0,0,0,1.65,96.8,1.12,0.43,1.55,-0.32,-0.05,0.16,0.39,0.88,1.37,1.6,1.82,2.13,0.88,0.88,0.73,0.01,1.03,0.88,0.88,0.72,0,0.04,0.69,0.94,1.18,3.12,23.42, 
W-01-13-PS,T02_A,yes,3/4/2013,19:03:07,48.151282,-123.567444,grab, W113PS_09,0,0,0,0,0,0,0,0,0,0,0,0.75,0.11,0.53,1.5,3.22,5.78,8.88,11.93,14.01,14.6,13.02,10.06,6.83,4.03,2.09,0.95,0.38,0.16,0.08,0.05,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0.86,98.14,0.7,0.3,1,-0.31,-0.06,0.13,0.35,0.81,1.27,1.49,1.7,1.98,0.81,0.81,0.69,0.01,1.02,0.81,0.81,0.68,0,0.04,0.69,0.86,0.91,3.36,28.05, 
W-01-13-PS,T02_2,yes,3/4/2013,18:57:52,48.150541,-123.566333,grab, W113PS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,1.3,2.96,5.25,8.05,11.39,14.09,15.25,14,10.71,6.81,3.44,1.36,0.55,0.3,0.2,0.12,0.08,0.06,0.06,0.07,0.09,0.1,0.12,0.13,0.16,0.2,0.24,0.26,0.27,0.27,0.25,0.23,0.2,0.18,0.15,0.13,0.12,0.1,0.09,0.09,0.07,0.06,0.04,0.04,0.02,0.01,0,0,0,0,96.18,2.7,1.12,3.82,0.28,0.51,0.7,0.92,1.36,1.81,2.02,2.25,2.78,1.36,1.36,0.71,0.06,1.15,1.36,1.36,0.66,0,0.25,0.89,1.55,1.77,3.56,19, 
