FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -4.00 phi bin,Wt. percent in -3.75 phi bin,Wt. percent in -3.50 phi bin,Wt. percent in -3.25 phi bin,Wt. percent in -3.00 phi bin,Wt. percent in -2.75 phi bin,Wt. percent in -2.50 phi bin,Wt. percent in -2.25 phi bin,Wt. percent in -2.00 phi bin,Wt. percent in -1.75 phi bin,Wt. percent in -1.50 phi bin,Wt. percent in -1.25 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis,
W-04-12-PS,T10_1,yes,8/28/2012,15:00:07,48.153671,-123.545788,grab, W0512PS_T_01,54.01,33.48,0.00,0.00,0.00,3.77,5.90,1.61,0.52,0.00,0.25,0.38,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,-4.00,-4.00,-3.85,-3.78,-2.02,-2.58,-4.00,-3.93,0.27,1.00,3.87,-4.00,-3.89,0.11,1.00,6.41,5.41,-3.78,0.22,2.59,9.07, 
W-04-12-PS,T10_2,yes,8/28/2012,14:48:21,48.152537,-123.546395,grab, W0512PS_T_02,58.44,31.62,6.95,0.00,0.00,2.98,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,-4.00,-4.00,-3.88,-3.80,-3.75,-3.57,-4.00,-3.93,0.11,1.00,1.39,-4.00,-3.90,0.10,1.00,2.15,1.15,-3.90,0.04,3.80,18.96, 
W-04-12-PS,T10_3,yes,8/28/2012,14:26:50,48.151691,-123.547012,grab, W0512PS_T_04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.44,0.81,1.34,2.24,3.75,6.48,10.75,15.30,17.72,16.17,11.34,5.95,2.40,0.86,0.44,0.31,0.21,0.14,0.13,0.14,0.14,0.14,0.13,0.12,0.15,0.17,0.19,0.19,0.19,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.11,0.11,0.10,0.08,0.07,0.05,0.04,0.03,0.01,0.00,0.00,0.00,0.00,96.38,2.53,1.08,3.62,1.01,1.31,1.52,1.73,2.13,2.50,2.70,2.90,3.31,2.13,2.12,0.64,-0.01,1.24,2.13,2.11,0.59,-0.04,0.04,0.97,2.24,1.32,3.54,21.11, 
W-04-12-PS,T10_4,yes,8/28/2012,14:37:01,48.151003,-123.548018,grab, W0512PS_T_05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.18,0.23,0.23,0.48,1.06,1.34,1.32,1.95,4.08,7.61,11.69,15.14,15.91,13.73,9.44,5.20,2.38,1.07,0.59,0.41,0.32,0.27,0.25,0.22,0.22,0.25,0.30,0.33,0.34,0.34,0.33,0.30,0.27,0.25,0.23,0.22,0.21,0.21,0.21,0.20,0.17,0.14,0.10,0.08,0.05,0.03,0.01,0.00,0.00,0.00,92.08,5.81,2.11,7.92,1.51,1.96,2.19,2.40,2.83,3.25,3.49,3.78,5.51,2.83,2.83,0.93,0.18,1.94,2.83,2.84,0.65,0.01,1.05,2.08,3.00,1.84,2.65,13.14, 
W-04-12-PS,T10_5,yes,8/28/2012,14:41:50,48.150519,-123.548294,grab, W0512PS_T_06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.22,0.25,0.45,0.99,1.41,1.69,2.85,5.73,9.78,13.49,15.69,15.14,12.12,8.03,4.36,2.00,0.86,0.43,0.27,0.21,0.19,0.18,0.15,0.14,0.17,0.21,0.24,0.25,0.24,0.23,0.21,0.19,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.13,0.10,0.07,0.05,0.04,0.02,0.00,0.00,0.00,0.00,94.31,4.17,1.52,5.69,1.49,1.86,2.07,2.28,2.71,3.15,3.38,3.61,4.20,2.71,2.72,0.74,0.06,1.28,2.71,2.72,0.65,0.02,0.20,1.08,2.84,1.47,2.93,16.24, 
W-04-12-PS,T12_1,yes,8/28/2012,15:38:29,48.154140,-123.539890,grab, W0512PS_T_07,0.00,0.00,0.00,0.00,12.11,4.52,10.45,5.84,9.08,6.01,7.34,6.25,5.29,5.05,4.66,4.00,3.31,2.79,2.53,2.46,2.38,2.05,1.49,0.90,0.46,0.22,0.11,0.07,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.90,32.65,0.32,0.14,0.46,-1.83,-2.54,-2.79,-2.53,-1.68,-0.59,0.01,0.58,1.11,-1.68,-1.49,1.14,0.55,0.62,-1.68,-1.39,1.40,0.21,0.94,0.05,-1.42,2.05,1.52,8.92, 
W-04-12-PS,T12_2,yes,8/28/2012,15:33:11,48.151507,-123.542343,grab, W0512PS_T_08,0.00,0.00,0.00,2.72,11.41,8.10,6.49,10.25,9.82,8.67,6.74,5.37,3.47,3.76,3.45,2.94,2.39,1.86,1.40,1.04,0.81,0.71,0.73,0.89,1.13,1.28,1.20,0.90,0.55,0.31,0.18,0.11,0.08,0.06,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,73.04,25.73,0.87,0.36,1.23,-3.15,-3.01,-2.94,-2.64,-1.96,-0.87,-0.17,0.79,2.17,-1.96,-1.69,1.50,0.43,1.23,-1.96,-1.55,1.39,0.30,1.06,0.92,-1.48,3.10,2.20,10.36, 
W-04-12-PS,T12_3,yes,8/28/2012,15:15:10,48.150226,-123.543399,grab, W0512PS_T_09,89.41,0.00,2.94,5.59,1.08,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-1.92,-3.36,-4.00,-4.00,0.10,0.50,0.00,-4.00,-4.00,0.00,0.00,0.00,0.00,-3.93,0.04,3.19,12.71, 
W-04-12-PS,T12_4,yes,8/28/2012,15:24:26,48.149760,-123.543698,grab, W0512PS_T_10,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,-4.00,0.00,0.00,0.00,-4.00,-4.00,0.00,0.00,0.00,0.00,-4.00,0.00,0.00,0.00, 
W-04-12-PS,T12_5,yes,8/28/2012,15:29:00,48.149226,-123.543931,grab, W0512PS_T_11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.32,0.91,1.91,2.88,4.06,6.17,9.44,12.89,15.11,14.83,11.95,7.96,4.34,1.97,0.84,0.42,0.27,0.19,0.16,0.15,0.14,0.13,0.13,0.15,0.18,0.20,0.21,0.21,0.20,0.18,0.17,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.10,0.08,0.05,0.04,0.03,0.02,0.00,0.00,0.00,0.00,95.68,3.08,1.24,4.32,1.17,1.49,1.74,1.98,2.44,2.88,3.11,3.33,3.79,2.44,2.43,0.74,0.00,1.20,2.44,2.42,0.68,-0.03,0.05,0.92,2.55,1.40,3.08,17.62, 
W-04-12-PS,T13_1,yes,8/28/2012,19:15:53,48.152646,-123.537729,grab, W0512PS_T_12,31.47,15.74,8.04,13.58,7.72,6.58,7.34,2.74,2.92,1.35,1.37,0.78,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,-4.00,-3.67,-3.05,-2.72,-2.52,-2.10,-3.67,-3.46,0.61,0.56,0.82,-3.67,-3.36,0.64,0.48,0.96,0.49,-3.43,0.42,1.18,3.74, 
W-04-12-PS,T13_2,yes,8/28/2012,19:09:46,48.150752,-123.540804,grab, W0512PS_T_13,54.33,23.88,14.64,4.94,1.42,0.00,0.00,0.00,0.31,0.38,0.09,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-4.00,-4.00,-4.00,-4.00,-4.00,-3.79,-3.65,-3.55,-3.40,-4.00,-3.88,0.18,1.00,1.16,-4.00,-3.83,0.17,1.00,1.74,0.74,-3.86,0.07,3.98,27.44, 
W-04-12-PS,T13_3,yes,8/28/2012,19:02:57,48.149550,-123.541400,grab, W0512PS_T_14,45.88,16.75,2.77,3.64,3.23,4.51,2.67,1.60,1.66,1.29,0.97,0.64,0.50,0.25,0.31,0.40,0.51,0.57,0.57,0.57,0.62,0.73,0.92,1.20,1.46,1.51,1.27,0.87,0.54,0.36,0.24,0.16,0.09,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,86.10,13.14,0.51,0.25,0.76,-4.00,-4.00,-4.00,-4.00,-3.94,-2.84,-1.75,1.04,2.13,-3.94,-3.23,1.49,0.96,2.17,-3.94,-2.87,1.13,0.95,2.67,1.72,-2.88,4.35,2.31,8.51, 
W-04-12-PS,T13_4,yes,8/28/2012,18:57:07,48.149003,-123.541491,grab, W0512PS_T_15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.12,0.18,0.40,0.51,0.69,1.40,3.18,6.21,10.16,14.61,16.95,15.72,11.49,6.56,3.02,1.32,0.72,0.48,0.35,0.30,0.27,0.24,0.23,0.27,0.32,0.35,0.36,0.35,0.34,0.31,0.28,0.26,0.23,0.21,0.20,0.20,0.20,0.20,0.18,0.16,0.12,0.09,0.05,0.03,0.01,0.00,0.00,0.00,91.37,6.49,2.14,8.63,1.90,2.16,2.34,2.54,2.94,3.35,3.58,3.88,5.69,2.94,2.95,0.88,0.25,1.91,2.94,2.96,0.62,0.04,1.38,2.06,3.14,1.71,2.92,14.15, 
W-04-12-PS,T13_5,yes,8/28/2012,18:54:20,48.148554,-123.542070,grab, W0512PS_T_16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.23,0.48,0.94,1.70,2.57,3.86,6.18,9.60,13.10,15.03,14.55,11.67,7.97,4.58,2.26,1.02,0.48,0.28,0.19,0.15,0.14,0.14,0.13,0.12,0.15,0.18,0.19,0.20,0.19,0.18,0.17,0.15,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.07,0.05,0.04,0.03,0.02,0.00,0.00,0.00,0.00,95.82,3.05,1.13,4.18,1.17,1.51,1.75,1.99,2.44,2.89,3.12,3.36,3.80,2.44,2.44,0.74,0.01,1.19,2.44,2.44,0.69,-0.01,0.06,0.91,2.54,1.35,2.99,17.64, 
W-04-12-PS,T13_5_duplicate,yes,8/28/2012,18:54:20,48.148554,-123.542070,grab, W0512PS_T_17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.22,0.61,1.22,2.14,3.22,4.83,7.37,10.68,13.69,14.96,13.71,10.52,6.84,3.77,1.80,0.81,0.39,0.23,0.16,0.13,0.12,0.12,0.11,0.10,0.12,0.15,0.16,0.17,0.16,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.10,0.10,0.10,0.08,0.06,0.04,0.03,0.02,0.01,0.00,0.00,0.00,0.00,96.41,2.57,1.02,3.59,1.07,1.40,1.64,1.89,2.36,2.81,3.03,3.25,3.66,2.36,2.34,0.74,-0.01,1.16,2.36,2.33,0.69,-0.03,0.02,0.87,2.44,1.27,3.03,18.56, 
