Survey_Date,Longitude,Latitude,X,Y,Ellip_Ht_m,Ortho_Ht_m
09/05/2010,-123.563835,48.147813,296872.450,131220.600,-16.670,3.440
09/05/2010,-123.563839,48.147822,296872.170,131221.600,-16.710,3.400
09/05/2010,-123.563844,48.147830,296871.800,131222.530,-16.790,3.320
09/05/2010,-123.563853,48.147839,296871.170,131223.490,-17.030,3.080
09/05/2010,-123.563864,48.147845,296870.380,131224.180,-17.090,3.020
09/05/2010,-123.563868,48.147854,296870.100,131225.190,-17.100,3.010
09/05/2010,-123.563869,48.147863,296870.100,131226.210,-17.120,2.990
09/05/2010,-123.563863,48.147872,296870.580,131227.200,-17.050,3.060
09/05/2010,-123.563859,48.147881,296870.920,131228.230,-17.090,3.020
09/05/2010,-123.563862,48.147891,296870.740,131229.320,-17.200,2.910
09/05/2010,-123.563861,48.147902,296870.820,131230.500,-17.280,2.830
09/05/2010,-123.563854,48.147910,296871.380,131231.420,-17.190,2.920
09/05/2010,-123.563847,48.147918,296871.920,131232.290,-17.160,2.950
09/05/2010,-123.563844,48.147927,296872.180,131233.300,-17.130,2.980
09/05/2010,-123.563843,48.147936,296872.320,131234.330,-17.220,2.890
09/05/2010,-123.563841,48.147946,296872.520,131235.350,-17.220,2.890
09/05/2010,-123.563836,48.147955,296872.890,131236.380,-17.220,2.890
09/05/2010,-123.563830,48.147963,296873.360,131237.300,-17.170,2.940
09/05/2010,-123.563819,48.147969,296874.270,131237.890,-17.080,3.030
09/05/2010,-123.563809,48.147977,296874.980,131238.740,-17.020,3.090
09/05/2010,-123.563801,48.147985,296875.650,131239.580,-16.960,3.150
09/05/2010,-123.563792,48.147992,296876.350,131240.340,-16.910,3.200
09/05/2010,-123.563782,48.148000,296877.090,131241.220,-16.830,3.280
09/05/2010,-123.563771,48.148007,296877.920,131241.980,-16.810,3.300
09/05/2010,-123.563763,48.148015,296878.610,131242.800,-16.840,3.270
09/05/2010,-123.563752,48.148023,296879.410,131243.660,-16.820,3.290
09/05/2010,-123.563741,48.148030,296880.280,131244.410,-16.840,3.270
09/05/2010,-123.563729,48.148035,296881.160,131245.020,-16.840,3.270
09/05/2010,-123.563718,48.148040,296882.050,131245.540,-16.750,3.360
09/05/2010,-123.563707,48.148047,296882.900,131246.200,-16.680,3.430
09/05/2010,-123.563693,48.148050,296883.910,131246.550,-16.630,3.480
09/05/2010,-123.563680,48.148054,296884.910,131246.960,-16.590,3.520
09/05/2010,-123.563669,48.148061,296885.720,131247.690,-16.550,3.560
09/05/2010,-123.563660,48.148069,296886.460,131248.540,-16.580,3.530
09/05/2010,-123.563651,48.148078,296887.190,131249.500,-16.570,3.540
09/05/2010,-123.563641,48.148086,296887.960,131250.380,-16.570,3.540
09/05/2010,-123.563631,48.148093,296888.670,131251.200,-16.640,3.470
09/05/2010,-123.563622,48.148100,296889.380,131251.960,-16.710,3.400
09/05/2010,-123.563610,48.148107,296890.300,131252.720,-16.770,3.340
09/05/2010,-123.563596,48.148109,296891.340,131252.880,-16.680,3.430
09/05/2010,-123.563583,48.148114,296892.360,131253.410,-16.730,3.380
09/05/2010,-123.563574,48.148121,296893.080,131254.140,-16.690,3.420
09/05/2010,-123.563566,48.148129,296893.660,131254.990,-16.620,3.490
09/05/2010,-123.563555,48.148136,296894.520,131255.710,-16.670,3.440
09/05/2010,-123.563541,48.148138,296895.590,131255.880,-16.670,3.440
09/05/2010,-123.563533,48.148146,296896.220,131256.770,-16.820,3.290
09/05/2010,-123.563535,48.148155,296896.080,131257.820,-16.980,3.130
09/05/2010,-123.563530,48.148165,296896.520,131258.900,-17.120,2.990
09/05/2010,-123.563526,48.148174,296896.810,131259.900,-17.380,2.730
09/05/2010,-123.563523,48.148184,296897.060,131261.000,-17.560,2.550
09/05/2010,-123.563527,48.148193,296896.800,131261.970,-17.530,2.580
09/05/2010,-123.563527,48.148211,296896.880,131263.960,-17.780,2.330
09/05/2010,-123.563534,48.148220,296896.430,131264.970,-17.950,2.160
09/05/2010,-123.563543,48.148226,296895.770,131265.760,-18.160,1.950
09/05/2010,-123.563559,48.148228,296894.620,131266.010,-18.330,1.780
09/05/2010,-123.563573,48.148225,296893.570,131265.630,-18.320,1.790
09/05/2010,-123.563587,48.148219,296892.490,131265.070,-18.320,1.790
09/05/2010,-123.563599,48.148214,296891.540,131264.580,-18.360,1.750
09/05/2010,-123.563616,48.148209,296890.280,131263.980,-18.380,1.730
09/05/2010,-123.563633,48.148203,296889.010,131263.360,-18.400,1.710
09/05/2010,-123.563652,48.148199,296887.530,131263.000,-18.430,1.680
09/05/2010,-123.563672,48.148197,296886.090,131262.780,-18.440,1.670
09/05/2010,-123.563693,48.148195,296884.480,131262.640,-18.500,1.610
09/05/2010,-123.563713,48.148196,296882.990,131262.780,-18.480,1.630
09/05/2010,-123.563732,48.148199,296881.610,131263.210,-18.510,1.600
09/05/2010,-123.563749,48.148204,296880.360,131263.860,-18.570,1.540
09/05/2010,-123.563764,48.148211,296879.240,131264.580,-18.580,1.530
09/05/2010,-123.563779,48.148215,296878.180,131265.160,-18.610,1.500
09/05/2010,-123.563794,48.148220,296877.110,131265.750,-18.620,1.490
09/05/2010,-123.563809,48.148225,296876.000,131266.290,-18.620,1.490
09/05/2010,-123.563825,48.148230,296874.830,131266.850,-18.630,1.480
09/05/2010,-123.563841,48.148232,296873.650,131267.220,-18.650,1.460
09/05/2010,-123.563858,48.148236,296872.410,131267.620,-18.620,1.490
09/05/2010,-123.563874,48.148240,296871.250,131268.180,-18.660,1.450
09/05/2010,-123.563890,48.148245,296870.060,131268.780,-18.700,1.410
09/05/2010,-123.563905,48.148249,296868.930,131269.210,-18.710,1.400
09/05/2010,-123.563919,48.148254,296867.910,131269.770,-18.810,1.300
09/05/2010,-123.563933,48.148257,296866.880,131270.190,-18.780,1.330
09/05/2010,-123.563946,48.148261,296865.920,131270.640,-18.820,1.290
09/05/2010,-123.563960,48.148264,296864.890,131271.090,-18.830,1.280
09/05/2010,-123.563975,48.148268,296863.780,131271.480,-18.810,1.300
09/05/2010,-123.563990,48.148272,296862.720,131271.960,-18.880,1.230
09/05/2010,-123.564002,48.148277,296861.850,131272.540,-18.830,1.280
09/05/2010,-123.564015,48.148282,296860.890,131273.130,-18.870,1.240
09/05/2010,-123.564027,48.148288,296860.020,131273.900,-18.930,1.180
09/05/2010,-123.564041,48.148294,296859.020,131274.630,-18.990,1.120
09/05/2010,-123.564054,48.148299,296858.080,131275.210,-18.920,1.190
09/05/2010,-123.564066,48.148306,296857.230,131276.010,-18.910,1.200
09/05/2010,-123.564075,48.148315,296856.530,131276.970,-18.960,1.150
09/05/2010,-123.564087,48.148322,296855.660,131277.780,-18.930,1.180
09/05/2010,-123.564095,48.148330,296855.100,131278.690,-18.900,1.210
09/05/2010,-123.564092,48.148339,296855.380,131279.670,-18.880,1.230
09/05/2010,-123.564080,48.148346,296856.330,131280.510,-19.110,1.000
09/05/2010,-123.564072,48.148354,296856.970,131281.350,-19.220,0.890
09/05/2010,-123.564063,48.148363,296857.650,131282.260,-19.270,0.840
09/05/2010,-123.564056,48.148371,296858.200,131283.180,-19.400,0.710
09/05/2010,-123.564052,48.148380,296858.520,131284.140,-19.380,0.730
09/05/2010,-123.564045,48.148389,296859.110,131285.190,-19.470,0.640
09/05/2010,-123.564032,48.148403,296860.100,131286.640,-19.460,0.650
09/05/2010,-123.564024,48.148414,296860.720,131287.880,-19.510,0.600
09/05/2010,-123.564017,48.148426,296861.310,131289.230,-19.500,0.610
09/05/2010,-123.564009,48.148436,296861.950,131290.270,-19.550,0.560
09/05/2010,-123.564000,48.148445,296862.630,131291.270,-19.550,0.560
09/05/2010,-123.563994,48.148455,296863.100,131292.300,-19.570,0.540
09/05/2010,-123.563996,48.148464,296863.020,131293.350,-19.560,0.550
09/05/2010,-123.563995,48.148474,296863.170,131294.480,-19.560,0.550
09/05/2010,-123.563990,48.148485,296863.540,131295.660,-19.600,0.510
09/05/2010,-123.563982,48.148494,296864.150,131296.660,-19.630,0.480
09/05/2010,-123.563982,48.148505,296864.260,131297.850,-19.640,0.470
09/05/2010,-123.563982,48.148515,296864.260,131299.000,-19.640,0.470
09/05/2010,-123.563984,48.148527,296864.130,131300.340,-19.670,0.440
09/05/2010,-123.563985,48.148539,296864.170,131301.610,-19.720,0.390
09/05/2010,-123.563983,48.148549,296864.300,131302.790,-19.750,0.360
09/05/2010,-123.563988,48.148558,296863.960,131303.800,-19.740,0.370
09/05/2010,-123.564002,48.148564,296863.000,131304.480,-19.660,0.450
09/05/2010,-123.564016,48.148562,296861.920,131304.290,-19.490,0.620
09/05/2010,-123.564016,48.148552,296861.920,131303.180,-19.460,0.650
09/05/2010,-123.564014,48.148542,296861.970,131302.100,-19.440,0.670
09/05/2010,-123.564013,48.148533,296862.050,131301.050,-19.450,0.660
09/05/2010,-123.564011,48.148522,296862.160,131299.830,-19.390,0.720
09/05/2010,-123.564008,48.148512,296862.300,131298.770,-19.400,0.710
09/05/2010,-123.564007,48.148503,296862.370,131297.680,-19.380,0.730
09/05/2010,-123.564009,48.148493,296862.160,131296.610,-19.320,0.790
09/05/2010,-123.564013,48.148483,296861.840,131295.470,-19.320,0.790
09/05/2010,-123.564016,48.148473,296861.570,131294.430,-19.280,0.830
09/05/2010,-123.564022,48.148465,296861.090,131293.480,-19.180,0.930
09/05/2010,-123.564028,48.148454,296860.640,131292.370,-19.180,0.930
09/05/2010,-123.564031,48.148443,296860.350,131291.120,-19.210,0.900
09/05/2010,-123.564035,48.148432,296859.980,131289.940,-19.170,0.940
09/05/2010,-123.564042,48.148422,296859.470,131288.860,-19.100,1.010
09/05/2010,-123.564048,48.148414,296858.970,131287.980,-18.990,1.120
09/05/2010,-123.564055,48.148406,296858.390,131287.060,-18.980,1.130
09/05/2010,-123.564062,48.148398,296857.820,131286.170,-18.970,1.140
09/05/2010,-123.564068,48.148389,296857.380,131285.220,-18.920,1.190
09/05/2010,-123.564074,48.148380,296856.880,131284.270,-18.880,1.230
09/05/2010,-123.564082,48.148369,296856.290,131283.070,-18.870,1.240
09/05/2010,-123.564090,48.148358,296855.610,131281.840,-18.810,1.300
09/05/2010,-123.564097,48.148349,296855.050,131280.800,-18.780,1.330
09/05/2010,-123.564109,48.148343,296854.140,131280.250,-18.740,1.370
09/05/2010,-123.564122,48.148346,296853.170,131280.630,-18.690,1.420
09/05/2010,-123.564134,48.148353,296852.340,131281.400,-18.680,1.430
09/05/2010,-123.564144,48.148359,296851.570,131282.100,-18.630,1.480
09/05/2010,-123.564160,48.148364,296850.400,131282.640,-18.580,1.530
09/05/2010,-123.564192,48.148370,296848.090,131283.410,-18.520,1.590
09/05/2010,-123.564207,48.148372,296846.970,131283.740,-18.530,1.580
09/05/2010,-123.564222,48.148376,296845.870,131284.140,-18.510,1.600
09/05/2010,-123.564257,48.148383,296843.300,131285.000,-18.540,1.570
09/05/2010,-123.564273,48.148385,296842.080,131285.260,-18.530,1.580
09/05/2010,-123.564290,48.148386,296840.830,131285.480,-18.540,1.570
