FACS/FAN I.D.,Sample ID,Sample Recovered,Date Collected,Time (GMT),Latitude (deg. N),Longitude (deg. E),Sample Type,Lab ID,Wt. percent in -2.00 phi bin,Wt. percent in -1.00 phi bin,Wt. percent in -0.75 phi bin,Wt. percent in -0.50 phi bin,Wt. percent in -0.25 phi bin,Wt. percent in 0.00 phi bin,Wt. percent in 0.25 phi bin,Wt. percent in 0.50 phi bin,Wt. percent in 0.75 phi bin,Wt. percent in 1.00 phi bin,Wt. percent in 1.25 phi bin,Wt. percent in 1.50 phi bin,Wt. percent in 1.75 phi bin,Wt. percent in 2.00 phi bin,Wt. percent in 2.25 phi bin,Wt. percent in 2.50 phi bin,Wt. percent in 2.75 phi bin,Wt. percent in 3.00 phi bin,Wt. percent in 3.25 phi bin,Wt. percent in 3.50 phi bin,Wt. percent in 3.75 phi bin,Wt. percent in 4.00 phi bin,Wt. percent in 4.25 phi bin,Wt. percent in 4.50 phi bin,Wt. percent in 4.75 phi bin,Wt. percent in 5.00 phi bin,Wt. percent in 5.25 phi bin,Wt. percent in 5.50 phi bin,Wt. percent in 5.75 phi bin,Wt. percent in 6.00 phi bin,Wt. percent in 6.25 phi bin,Wt. percent in 6.50 phi bin,Wt. percent in 6.75 phi bin,Wt. percent in 7.00 phi bin,Wt. percent in 7.25 phi bin,Wt. percent in 7.50 phi bin,Wt. percent in 7.75 phi bin,Wt. percent in 8.00 phi bin,Wt. percent in 8.25 phi bin,Wt. percent in 8.50 phi bin,Wt. percent in 8.75 phi bin,Wt. percent in 9.00 phi bin,Wt. percent in 9.25 phi bin,Wt. percent in 9.50 phi bin,Wt. percent in 9.75 phi bin,Wt. percent in 10.00 phi bin,Wt. percent in 10.25 phi bin,Wt. percent in 10.50 phi bin,Wt. percent in 10.75 phi bin,Wt. percent in 11.00 phi bin,Wt. percent in 11.25 phi bin,Wt. percent in 11.50 phi bin,Wt. percent in 12.00 phi bin,Wt. percent in 13.00 phi bin,Percent Gravel,Percent Sand,Percent Silt,Percent Clay,Percent Mud,D5 Phi, D10 Phi, D16 Phi, D25 Phi, D50 Phi, D75 Phi, D84 Phi, D90 Phi, D95 Phi, F-W Median, F-W Mean, F-W Sorting, F-W Skewness, F-W Kurtosis, Inman Median, Inman Mean, Inman Sorting, Inman Skew 16-84, Inman Skew 05-95, Inman Kurtosis,Moment 1 Mean,Moment 2 Variance,Moment 3 Skewness,Moment 4 Kurtosis
2017-638-FA,TW1_B,Yes,7/20/2017,16:45:00,48.144636,-123.583902,Grab,17-638FA_01,0,0.663445,0,0,0.00298,0.104834,0.364161,0.629006,0.949027,1.42354,1.776667,2.201522,3.040197,4.049917,4.706511,4.849969,4.905145,5.175507,5.517598,5.434834,4.414079,2.758799,1.280083,0.476951,0.608513,1.886925,2.577503,2.553236,2.538896,2.465432,2.456041,2.54001,2.622323,2.614593,2.535049,2.42015,2.203053,2.026834,1.830173,1.592077,1.428003,1.293755,1.183259,1.095412,1.036846,0.931332,0.884931,0.7264,0.572846,0.386474,0.216551,0.048613,0,0,0.663445,52.304292,33.805592,13.226671,47.032263,1.13,1.665,2.046,2.513,3.738,6.753,7.664,8.47,9.456,3.738004,4.482799,2.666109,0.385625,0.804806,3.738004,4.855197,2.809182,0.397693,0.553584,0.481929,4.628065,7.082196,0.430374,2.21689
2017-638-FA,TW1_A,Yes,7/20/2017,16:52:00,48.142906,-123.581533,Grab,17-638FA_02,1.615895,0.626784,0,0,0.001165,0.145624,0.815496,1.754773,2.672207,3.509547,3.924576,4.172138,4.565323,4.936666,5.089571,5.133258,5.497319,6.232722,6.851626,6.611346,5.147821,3.014424,1.259651,0.400467,0.256991,0.913796,1.517875,1.531845,1.502945,1.449769,1.4398,1.479675,1.510617,1.495244,1.441032,1.369375,1.244654,1.143091,1.034472,0.905608,0.818494,0.747483,0.693608,0.652195,0.624278,0.565194,0.535596,0.435572,0.336164,0.221713,0.124608,0.029906,0,0,2.242679,70.075604,19.956825,7.724892,27.681717,0.505,0.928,1.309,1.814,2.974,4.993,6.488,7.523,8.741,2.974157,3.590492,2.542621,0.378695,1.061719,2.974157,3.89866,2.589323,0.357044,0.636741,0.59048,3.519389,6.571858,0.78979,3.301031
2017-638-FA,TW1_0,Yes,7/20/2017,16:55:00,48.141733,-123.580224,Grab,17-638FA_03,0,0,0,0,0,0,0,0,0,0,0,0,0.000411,0.04449,0.321698,0.995895,2.337444,4.141007,5.88639,6.707747,5.954836,3.969891,1.992811,2.36304,6.081496,6.730878,5.074649,3.938487,3.700665,3.476459,3.21409,3.168056,3.112707,2.976732,2.807532,2.619288,2.339659,2.127163,1.903225,1.654009,1.479186,1.338955,1.226399,1.140491,1.086437,0.984638,0.942026,0.787348,0.630274,0.436897,0.249411,0.057185,0,0,0,30.359808,55.723711,13.91648,69.640192,2.846,3.104,3.341,3.693,5.121,6.901,7.754,8.561,9.541,5.120766,5.405139,2.117528,0.256913,0.85545,5.120766,5.547326,2.206296,0.193338,0.486254,0.517228,5.505834,4.295645,0.613057,2.58539
2017-638-FA,TW1_1,Yes,7/20/2017,16:58:00,48.140992,-123.579347,Grab,17-638FA_04,0,0,0,0,0,0.017564,0.077651,0.147906,0.360522,0.868949,0.878194,0.582381,0.80424,1.756387,3.873296,7.829789,13.404008,17.378989,17.194106,13.034242,7.543221,3.272427,1.13703,0.443719,0.26808,0.195499,0.194219,0.367122,0.45504,0.439259,0.471555,0.51986,0.553194,0.564258,0.552288,0.528283,0.482169,0.440953,0.398099,0.348869,0.318146,0.29722,0.285165,0.279372,0.28044,0.264802,0.263812,0.224835,0.18461,0.129204,0.072712,0.016312,0,0,0,89.023872,7.612529,3.3636,10.976128,1.953,2.278,2.475,2.664,3.031,3.439,3.69,4.212,7.166,3.031129,3.065482,1.093502,0.335687,2.757844,3.031129,3.082659,0.607372,0.084841,2.516968,3.29126,3.342612,2.38184,2.543747,10.489767
2017-638-FA,TW1_2,Yes,7/20/2017,17:01:00,48.140652,-123.578885,Grab,17-638FA_05,0,0,0,0,0,0.013007,0.072466,0.195099,0.520265,1.142725,1.282082,1.077692,1.24492,1.895252,3.391014,6.642671,12.077584,16.722808,17.651853,14.028578,8.240628,3.493209,1.086983,0.380908,0.250842,0.196308,0.186928,0.32987,0.404181,0.38532,0.417305,0.472801,0.514137,0.531089,0.523439,0.504141,0.460678,0.422134,0.380692,0.333725,0.304908,0.284783,0.272913,0.269298,0.270439,0.256823,0.255508,0.219427,0.18034,0.125784,0.07101,0.015432,0,0,0,89.691854,7.067065,3.241081,10.308146,1.646,2.203,2.461,2.676,3.056,3.448,3.681,4.067,7.073,3.056289,3.066282,1.127238,0.252423,2.880326,3.056289,3.071278,0.610084,0.024568,2.135948,3.447328,3.313492,2.357848,2.483833,10.584793
2017-638-FA,TW1_3,Yes,7/20/2017,17:05:00,48.140119,-123.578098,Grab,17-638FA_06,0,0,0,0,0,0,0,0,0,0,0.129823,0.278193,0.222554,0.843852,3.162125,8.160322,15.300605,20.029882,19.102573,13.353255,6.843543,2.540828,0.806759,0.380197,0.26892,0.167865,0.147274,0.28447,0.379215,0.389517,0.438379,0.505495,0.55562,0.575218,0.567069,0.54266,0.492162,0.445802,0.396858,0.343349,0.308813,0.287339,0.275949,0.27186,0.270436,0.250189,0.237718,0.187322,0.131896,0.074442,0.040159,0.009492,0,0,0,89.967555,6.946623,3.085822,10.032445,2.268,2.451,2.568,2.714,3.026,3.395,3.622,4.009,7.059,3.025876,3.07168,0.989459,0.40701,2.883814,3.025876,3.094581,0.52706,0.130355,3.107354,3.545151,3.369186,2.052061,2.939579,12.001615
2017-638-FA,TW1_4,Yes,7/20/2017,17:08:00,48.139822,-123.577886,Grab,17-638FA_07,0,0.643279,0,0,0,0.010393,0.038737,0.132274,0.462959,1.001503,1.162122,1.228259,2.201418,4.676832,8.739535,13.60533,17.384588,17.101144,13.038441,7.558517,3.287955,1.114881,0.40627,0.226755,0.15117,0.093537,0.066779,0.087357,0.222464,0.322501,0.321148,0.34198,0.381712,0.397326,0.392237,0.3783,0.342543,0.311859,0.281315,0.248305,0.232303,0.224032,0.21836,0.212002,0.199696,0.167914,0.134136,0.091767,0.072117,0.050383,0.028649,0.006915,0,0,0.643279,92.744887,4.443939,2.167895,6.611834,1.546,1.942,2.15,2.35,2.734,3.127,3.333,3.573,6.027,2.734124,2.738794,0.974668,0.240816,2.364446,2.734124,2.741129,0.591614,0.01184,1.778946,2.786666,2.917981,1.922709,2.629888,13.226403
2017-638-FA,TW2_C,Yes,7/20/2017,17:16:00,48.146576,-123.579777,Grab,17-638FA_08,0,0.776791,0,0.00029,0.015108,0.088132,0.210887,0.317905,0.409184,0.487874,0.409184,0.280134,0.3242,0.563416,1.026109,1.794117,2.933538,4.091845,4.910214,4.941689,3.997418,2.455107,1.111093,0.390299,0.336201,1.80444,3.297859,3.581189,3.688348,3.63683,3.726167,3.984253,4.213665,4.272123,4.180898,4.008371,3.652915,3.345828,2.99935,2.587008,2.284958,2.032538,1.828487,1.678639,1.568497,1.406207,1.336882,1.105117,0.87761,0.60425,0.345534,0.081302,0,0,0.776791,29.25635,49.230479,20.736379,69.966858,2.266,2.776,3.123,3.589,6.144,7.687,8.419,9.115,9.882,6.144139,5.895311,2.47769,-0.079681,0.761752,6.144139,5.770897,2.647615,-0.140973,-0.026447,0.438206,5.891332,6.163929,-0.173457,2.439199
2017-638-FA,TW2_B,Yes,7/20/2017,17:20:00,48.145408,-123.578479,Grab,17-638FA_09,0,0.554771,0,0.032541,0.230169,0.492085,0.706381,0.83337,1.079413,1.619119,1.944531,2.381058,3.674766,5.58755,7.413027,8.730546,9.524232,9.524232,8.651178,6.9765,4.746242,2.571543,1.063539,0.381685,0.54274,1.279894,1.33881,1.212856,1.191001,1.154468,1.141176,1.174166,1.201544,1.184708,1.138114,1.074628,0.968884,0.883632,0.792288,0.688813,0.621079,0.56658,0.527754,0.495021,0.471612,0.420199,0.387803,0.309181,0.241726,0.16217,0.090551,0.020122,0,0,0.554771,76.718484,16.931846,5.794899,22.726745,0.928,1.511,1.874,2.204,2.89,3.777,5.691,6.971,8.253,2.889862,3.484671,2.064135,0.46589,1.908835,2.889862,3.782076,1.908481,0.467499,0.891021,0.919145,3.463036,4.703278,1.2793,4.405565
2017-638-FA,TW2_A,Yes,7/20/2017,17:26:00,48.144268,-123.577050,Grab,17-638FA_10,0,0,0,0,0,0.010952,0.035202,0.028161,0.055541,0.226856,0.17992,0.093871,0.672744,2.072992,4.07558,6.790025,10.091167,12.43795,12.907306,11.186332,8.057288,4.638808,2.104282,0.801647,0.818915,1.653731,1.592054,1.343119,1.2861,1.212494,1.14844,1.179767,1.224637,1.224924,1.19232,1.143044,1.039224,0.955204,0.859041,0.749336,0.674869,0.618186,0.577722,0.550349,0.53372,0.490867,0.468102,0.383093,0.292607,0.190604,0.106907,0.023999,0,0,0,73.560694,19.919903,6.519403,26.439306,2.124,2.361,2.552,2.765,3.257,4.167,5.922,7.178,8.471,3.25741,3.910482,1.804454,0.611975,1.855699,3.25741,4.237018,1.68545,0.581215,1.210271,0.883002,3.954402,3.833085,1.596809,4.888013
