datetime_utc,longitude,latitude,easting_m,northing_m,ortho_ht_m
2018-Jul-25 22:46:14.000,-123.5619558,48.1442643,296998.18,130821.31,1.28
2018-Jul-25 22:46:16.000,-123.5619619,48.1442667,296997.73,130821.60,1.25
2018-Jul-25 22:46:17.000,-123.5619682,48.1442703,296997.28,130822.01,1.17
2018-Jul-25 22:46:18.000,-123.5619733,48.1442735,296996.91,130822.39,1.18
2018-Jul-25 22:46:19.000,-123.5619790,48.1442777,296996.51,130822.87,1.18
2018-Jul-25 22:46:20.000,-123.5619840,48.1442811,296996.15,130823.25,1.11
2018-Jul-25 22:46:21.000,-123.5619895,48.1442847,296995.76,130823.67,1.10
2018-Jul-25 22:46:21.000,-123.5619951,48.1442893,296995.35,130824.20,1.09
2018-Jul-25 22:46:22.000,-123.5620029,48.1442916,296994.79,130824.47,1.13
2018-Jul-25 22:46:22.000,-123.5620102,48.1442965,296994.26,130825.03,1.16
2018-Jul-25 22:46:23.000,-123.5620180,48.1442999,296993.70,130825.43,1.15
2018-Jul-25 22:46:24.000,-123.5620260,48.1443058,296993.13,130826.11,1.18
2018-Jul-25 22:46:24.000,-123.5620349,48.1443096,296992.47,130826.55,1.18
2018-Jul-25 22:46:25.000,-123.5620432,48.1443158,296991.88,130827.26,1.17
2018-Jul-25 22:46:25.000,-123.5620524,48.1443212,296991.22,130827.89,1.21
2018-Jul-25 22:46:26.000,-123.5620626,48.1443263,296990.48,130828.49,1.26
2018-Jul-25 22:46:27.000,-123.5620723,48.1443317,296989.78,130829.10,1.21
2018-Jul-25 22:46:27.000,-123.5620826,48.1443361,296989.04,130829.62,1.22
2018-Jul-25 22:46:28.000,-123.5620925,48.1443422,296988.32,130830.32,1.20
2018-Jul-25 22:46:28.000,-123.5621026,48.1443470,296987.59,130830.89,1.14
2018-Jul-25 22:46:29.000,-123.5621123,48.1443526,296986.89,130831.53,1.15
2018-Jul-25 22:46:30.000,-123.5621225,48.1443574,296986.15,130832.10,1.15
2018-Jul-25 22:46:30.000,-123.5621322,48.1443622,296985.45,130832.65,1.12
2018-Jul-25 22:46:31.000,-123.5621423,48.1443668,296984.71,130833.20,1.06
2018-Jul-25 22:46:31.000,-123.5621521,48.1443696,296984.00,130833.53,1.12
2018-Jul-25 22:46:32.000,-123.5621620,48.1443736,296983.28,130834.00,1.01
2018-Jul-25 22:46:33.000,-123.5621711,48.1443757,296982.61,130834.26,1.02
2018-Jul-25 22:46:33.000,-123.5621810,48.1443790,296981.89,130834.65,0.98
2018-Jul-25 22:46:34.000,-123.5621895,48.1443801,296981.26,130834.79,0.99
2018-Jul-25 22:46:34.000,-123.5621982,48.1443820,296980.62,130835.03,1.02
2018-Jul-25 22:46:35.000,-123.5622060,48.1443829,296980.04,130835.15,0.98
2018-Jul-25 22:46:36.000,-123.5622137,48.1443844,296979.48,130835.34,1.10
2018-Jul-25 22:46:36.000,-123.5622212,48.1443854,296978.92,130835.48,1.07
2018-Jul-25 22:46:37.000,-123.5622284,48.1443864,296978.39,130835.60,1.12
2018-Jul-25 22:46:37.000,-123.5622359,48.1443874,296977.84,130835.73,1.15
2018-Jul-25 22:46:38.000,-123.5622427,48.1443869,296977.33,130835.70,1.18
2018-Jul-25 22:46:39.000,-123.5622503,48.1443875,296976.76,130835.78,1.10
2018-Jul-25 22:46:39.000,-123.5622571,48.1443867,296976.26,130835.71,1.17
2018-Jul-25 22:46:40.000,-123.5622647,48.1443869,296975.69,130835.75,1.11
2018-Jul-25 22:46:41.000,-123.5622736,48.1443859,296975.03,130835.66,1.15
2018-Jul-25 22:46:41.000,-123.5622805,48.1443851,296974.51,130835.59,1.05
2018-Jul-25 22:46:42.000,-123.5622874,48.1443851,296974.00,130835.61,1.10
2018-Jul-25 22:46:42.000,-123.5622944,48.1443848,296973.48,130835.60,1.10
2018-Jul-25 22:46:43.000,-123.5623034,48.1443839,296972.80,130835.52,1.09
2018-Jul-25 22:46:44.000,-123.5623105,48.1443844,296972.28,130835.60,1.11
2018-Jul-25 22:46:44.000,-123.5623173,48.1443822,296971.77,130835.37,1.09
2018-Jul-25 22:46:45.000,-123.5623242,48.1443811,296971.24,130835.27,1.14
2018-Jul-25 22:46:46.000,-123.5623312,48.1443800,296970.72,130835.16,1.12
2018-Jul-25 22:46:46.000,-123.5623374,48.1443776,296970.25,130834.90,1.15
2018-Jul-25 22:46:47.000,-123.5623444,48.1443762,296969.72,130834.77,1.21
2018-Jul-25 22:46:47.000,-123.5623503,48.1443736,296969.28,130834.50,1.24
2018-Jul-25 22:46:48.000,-123.5623568,48.1443714,296968.78,130834.27,1.15
2018-Jul-25 22:46:49.000,-123.5623634,48.1443675,296968.28,130833.86,1.14
2018-Jul-25 22:46:50.000,-123.5623682,48.1443637,296967.90,130833.44,1.09
2018-Jul-25 22:46:51.000,-123.5623712,48.1443596,296967.66,130833.00,1.20
2018-Jul-25 22:46:53.000,-123.5623851,48.1443553,296966.61,130832.56,1.21
2018-Jul-25 22:46:54.000,-123.5623902,48.1443518,296966.22,130832.18,1.15
2018-Jul-25 22:46:55.000,-123.5623937,48.1443478,296965.94,130831.74,1.17
2018-Jul-25 22:46:56.000,-123.5623985,48.1443438,296965.57,130831.32,1.15
2018-Jul-25 22:46:58.000,-123.5624052,48.1443417,296965.07,130831.10,1.16
2018-Jul-25 22:46:59.000,-123.5624114,48.1443388,296964.59,130830.80,1.17
2018-Jul-25 22:47:00.000,-123.5624167,48.1443354,296964.19,130830.42,1.16
2018-Jul-25 22:47:01.000,-123.5624219,48.1443305,296963.78,130829.90,1.22
2018-Jul-25 22:47:02.000,-123.5624271,48.1443260,296963.38,130829.42,1.16
2018-Jul-25 22:47:02.000,-123.5624307,48.1443222,296963.10,130828.99,1.11
2018-Jul-25 22:47:03.000,-123.5624345,48.1443167,296962.79,130828.40,1.13
2018-Jul-25 22:47:04.000,-123.5624395,48.1443123,296962.40,130827.92,1.13
2018-Jul-25 22:47:05.000,-123.5624437,48.1443075,296962.06,130827.40,1.15
2018-Jul-25 22:47:06.000,-123.5624473,48.1443026,296961.78,130826.87,1.14
2018-Jul-25 22:47:06.000,-123.5624497,48.1442975,296961.58,130826.30,1.15
2018-Jul-25 22:47:07.000,-123.5624514,48.1442924,296961.43,130825.74,1.15
2018-Jul-25 22:47:08.000,-123.5624518,48.1442876,296961.39,130825.21,1.13
2018-Jul-25 22:47:09.000,-123.5624511,48.1442824,296961.42,130824.63,1.14
2018-Jul-25 22:47:10.000,-123.5624490,48.1442779,296961.55,130824.12,1.16
2018-Jul-25 22:47:13.000,-123.5624503,48.1442733,296961.44,130823.62,1.13
2018-Jul-25 22:47:15.000,-123.5624540,48.1442691,296961.15,130823.16,1.15
2018-Jul-25 22:47:16.000,-123.5624570,48.1442649,296960.91,130822.70,1.19
2018-Jul-25 22:47:17.000,-123.5624591,48.1442602,296960.73,130822.19,1.13
2018-Jul-25 22:47:19.000,-123.5624607,48.1442550,296960.60,130821.61,1.15
2018-Jul-25 22:47:20.000,-123.5624617,48.1442505,296960.50,130821.11,1.12
2018-Jul-25 22:47:21.000,-123.5624625,48.1442459,296960.43,130820.60,1.06
2018-Jul-25 22:47:24.000,-123.5624639,48.1442362,296960.29,130819.53,1.03
2018-Jul-25 22:47:25.000,-123.5624642,48.1442313,296960.24,130818.99,1.08
2018-Jul-25 22:47:28.000,-123.5624642,48.1442216,296960.20,130817.91,0.97
2018-Jul-25 22:47:29.000,-123.5624639,48.1442168,296960.21,130817.38,1.04
2018-Jul-25 22:47:31.000,-123.5624626,48.1442121,296960.28,130816.85,1.06
2018-Jul-25 22:47:32.000,-123.5624609,48.1442073,296960.40,130816.31,1.01
2018-Jul-25 22:47:34.000,-123.5624582,48.1442026,296960.58,130815.79,0.98
2018-Jul-25 22:47:35.000,-123.5624550,48.1441982,296960.80,130815.29,0.95
2018-Jul-25 22:47:36.000,-123.5624511,48.1441940,296961.07,130814.81,0.94
2018-Jul-25 22:47:38.000,-123.5624472,48.1441899,296961.34,130814.34,0.94
2018-Jul-25 22:47:39.000,-123.5624432,48.1441862,296961.63,130813.92,0.92
